sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
113106	S761b	1.3525810324129652	1.0448979591836736	0.010984393757503002	1.0448979591836736	0.010984393757503002	0.0	0.0	0.0	0.0	1.0	0.0004201680672268908	0	0	0.005162064825930372	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
113023	S1556	1.404045121425492	1.0247880442592328	0.013004742060640897	1.0247880442592328	0.013004742060640897	0.0	0.0	0.0	0.0	1.0	0.00025147291277482397	0	0	0.004706135939071706	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
113046	S2663	1.4930268595041323	1.0284090909090908	0.010373622589531681	1.0284090909090908	0.010373622589531681	0.0	0.0	0.0	0.0	1.0	0.0003443526170798898	0	0	0.01071797520661157	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
112971	S420	1.6756723716381419	1.022799511002445	0.0117359413202934	1.022799511002445	0.0117359413202934	0.0	0.0	0.0	0.0	1.0	0.000550122249388753	0	0	0.01491442542787286	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
112993	S832	1.2776425013835087	1.0289429994465966	0.011759822910902048	1.0289429994465966	0.011759822910902048	0.0	0.0	0.0	0.0	1.0	0.0002490315439955728	0	0	0.022827891532927504	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
112980	S554	1.585061325333098	1.0187946704314832	0.011515044560134122	1.0187946704314832	0.011515044560134122	0.0	0.0	0.0	0.0	1.0	0.00048530839142327714	0	0	0.021397688167299037	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
112989	S761	1.4488387341684785	1.0322324602270767	0.011353832349794665	1.0320944197121855	0.011319322221071884	0.0	0.0	0.00013804051489112054	3.4510128722780136e-05	1.0	0.0003451012872278014	0	0	0.021913931738965386	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
113024	S1573	1.6452908178328904	1.0341895482728078	0.010865072335400058	1.0337762031296132	0.010746973723058753	0.0	0.0	0.00041334514319456744	0.00011809861234130499	1.0	0.000590493061706525	0	0	0.02934750516681429	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
113059	S3137	1.5566555137801386	1.0261115518609223	0.010865440998930703	1.0261115518609223	0.010865440998930703	0.0	0.0	0.0	0.0	1.0	0.0003794280983753579	0	0	0.026766927667207063	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
113042	S2328	1.4146810317850598	1.0194912602262058	0.01314318923510215	1.0194912602262058	0.01314318923510215	0.0	0.0	0.0	0.0	1.0	0.0004917519781840941	0	0	0.022710000447047254	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
113035	S2001	1.926237656571012	1.024322354032739	0.010139836967327192	1.024322354032739	0.010139836967327192	0.0	0.0	0.0	0.0	1.0	0.0007952813307707602	0	0	0.03293790178275565	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
113078	S3474	2.3055095277547637	1.0290665561999448	0.009458713062689864	1.0288594310963821	0.009389671361502348	0.0	0.0	0.00020712510356255177	6.904170118751726e-05	1.0	0.0007594587130626899	0	0	0.02823805578569456	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
113025	S1688	1.6899240506329114	1.027139240506329	0.011341772151898735	1.027139240506329	0.011341772151898735	0.0	0.0	0.0	0.0	1.0	0.0008101265822784811	0	0	0.037670886075949366	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
112982	S616	1.3634469185350981	1.02902018291977	0.011963107320649867	1.02902018291977	0.011963107320649867	0.0	0.0	0.0	0.0	1.0	0.0004630880253154787	0	0	0.02566279473623278	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
113013	S1240	1.481467979098311	1.0274638473690607	0.014096488030137319	1.0274638473690607	0.014096488030137319	0.0	0.0	0.0	0.0	1.0	0.0006076072426783327	0	0	0.03566654514521813	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
113026	S1736	1.9612551561579257	1.0184639560007858	0.010852484777057553	1.018120212139069	0.010803378511098017	0.0	0.0	0.00034374386171675506	4.910626595953644e-05	1.0	0.0005401689255549008	0	0	0.030986053820467492	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
112972	S422	1.3986454183266932	1.018804780876494	0.010385126162018593	1.018804780876494	0.010385126162018593	0.0	0.0	0.0	0.0	1.0	0.0003452855245683931	0	0	0.03306772908366534	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
113016	S1413	1.4713481004616493	1.0177883190038541	0.010884757104739316	1.017661259582398	0.01084240396425395	0.0	0.0	0.00012705942145610098	4.235314048536699e-05	1.0	0.0005082376858244039	0.00016941256194146796	0	0.03218838676887892	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
112962	S249	1.6637281387743494	1.030001421868335	0.010806199345940565	1.030001421868335	0.010806199345940565	0.0	0.0	0.0	0.0	1.0	0.0005213517228304659	0	0	0.04104459927010759	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
112979	S490	1.858176267586939	1.0229625696840987	0.011481284842049376	1.0229625696840987	0.011481284842049376	0.0	0.0	0.0	0.0	1.0	0.0008627555083620919	0	0	0.036633926201221134	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
113177	SN64	1.45495204721505	1.0211176687569163	0.012080413131685725	1.0211176687569163	0.012080413131685725	0.0	0.0	0.0	0.0	1.0	0.0005071929177425305	0	0	0.035918480265584654	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	NoData	NoData	NoData	999.00000000	999.00000000	NoData	NoData
113049	S2849	5.969957686882934	1.0342736248236954	0.01086036671368124	1.0342736248236954	0.01086036671368124	0.0	0.0	0.0	0.0	1.0	0.0018335684062059238	0	0	0.022566995768688293	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
112974	S436	1.624140408498409	1.030534742892333	0.011700708200759519	1.0303807862054808	0.011649389305142154	0.0	0.0	0.00015395668685209895	5.1318895617366314e-05	1.0	0.0006158267474083958	0	0	0.03777070717438161	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
113014	S1254	1.6451886961187623	1.0211053478805223	0.0108656769808621	1.0211053478805223	0.0108656769808621	0.0	0.0	0.0	0.0	1.0	0.00044714720085852264	0	0	0.05128778393847254	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
113038	S2214	1.4736486051156497	1.0296050512209265	0.010920688099993556	1.0296050512209265	0.010920688099993556	0.0	0.0	0.0	0.0	1.0	0.00028992977256620065	0	0	0.05279943302622253	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
113052	S2948	1.501703645007924	1.0239698890649762	0.01216323296354992	1.0239698890649762	0.01216323296354992	0.0	0.0	0.0	0.0	1.0	0.0003565768621236133	0	0	0.048771790808240886	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
