sample,analysis_type_uid,PC1,PC2,PC3
D4/D1-D6-D1ab-D17d-D17j-D3h,87936,-0.0523464836254968,-0.02852108791600349,0.0
D4/D1/D6-D1ab-D3h,87617,-0.05066778659792179,0.02883262894101375,0.0
D1/D4/D6/D1ab,87549,0.10301427022341858,-0.0003115410250102225,0.0
proportion_explained,0,0.9063509267596531,0.09364907324034698,0.0
