"","taxa_id","x","y","zero_ind","contrast","Domain","Phylum","Order","Class","Family","Genus"
"295","Otu00783",-0.047485432092623,0,"No","T1","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured"
"296","Otu00794",0.0396325877656197,0,"No","TF","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Microcystaceae","SU2_symbiont_group"
"297","Otu00796",-0.125186354610964,0,"No","T1","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio"
"298","Otu00797",0.398681450027361,0,"No","T1","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified"
"299","Otu00825",0.256399033175105,0,"No","T1","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Xenococcaceae","Xenococcaceae_unclassified"
"300","Otu00826",0.0804930473877562,0,"No","T1","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_III","Clade_III_ge"
"301","Otu00833",0.174227377925545,0,"No","T1","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS5_marine_group"
"302","Otu00834",0.131179578595476,0,"No","T1","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","uncultured"
"303","Otu00837",0.12608866454104,0,"No","TF","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrionaceae_unclassified"
"304","Otu00837",-0.0809810903860314,0,"No","T1","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrionaceae_unclassified"
"305","Otu00845",0.32187142894967,0,"No","T1","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","uncultured","uncultured_ge"
"306","Otu00853",-0.252992477091879,0,"No","T1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Marivita"
"307","Otu00860",-0.136633442356363,0,"No","T1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified"
"308","Otu00868",0.255662684533842,0,"No","T1","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Saprospiraceae_unclassified"
"309","Otu00871",0.0934509443014892,0,"No","T1","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Blastopirellula"
"310","Otu00872",-0.0944654387525625,0,"No","T1","Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales","uncultured","uncultured_ge"
"311","Otu00873",0.100475009055804,0,"No","T1","Bacteria","Proteobacteria","Alphaproteobacteria","uncultured","uncultured_fa","uncultured_ge"
"312","Otu00875",-0.143658987852106,0,"No","T1","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified"
"313","Otu00878",-0.105431418236338,0,"No","T1","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula"
