"","OTU","Sample","Abundance","sample_name.1","Type","Parent.ID","Treatment","Species","Time.Point","Depth","Tank.num","Clade","Dups","Frag.ID","Domain","Phylum","Order","Class","Family","Genus","top.group"
"21","Otu00001","S3485",0.564666666666667,"S3485","sample","320","High","Porites_compressa","TF","0.8","7","C15cj","","3485","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"37","Otu00001","S972",0.563666666666667,"S972","sample","316","High","Porites_compressa","TF","2.0","11","C15n","","972","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"15","Otu00001","S3517",0.562,"S3517","sample","317","High","Porites_compressa","TF","2.2","3","C15cj","","3517","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"12","Otu00001","S3444",0.560333333333333,"S3444","sample","315","High","Porites_compressa","TF","2.5","11","C15n","","3444","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"52","Otu00001","SN211",0.556333333333333,"SN211","sample","316","Ambient","Porites_compressa","TF","2.0","8","C15n","","N211","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"16","Otu00001","S3480",0.547666666666667,"S3480","sample","314","High","Porites_compressa","TF","2.1","3","C15cj","","3480","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"23","Otu00001","S3514",0.542,"S3514","sample","314","High","Porites_compressa","T1","2.1","2","C15cj","","3514","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"47","Otu00001","SN205",0.512666666666667,"SN205","sample","320","Ambient","Porites_compressa","TF","0.8","5","C15cj","","N205","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"40","Otu00001","SN161",0.499333333333333,"SN161","sample","313","Ambient","Porites_compressa","T1","5.8","1","C15n","","N161","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"35","Otu00001","SN157",0.486,"SN157","sample","322","High","Porites_compressa","T1","1.5","6","C15cj","","N157","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"50","Otu00001","SN189",0.479333333333333,"SN189","sample","313","Ambient","Porites_compressa","TF","5.8","4","C15n","","N189","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
