sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
C31/C17d-C31.1,87425,-0.11969359245126195,0.09601234847214038,0.00787257190495419,0.005047378086114596,0.022715133445600992,-0.003915006072444667,0.028931824515862924,-0.005933491994641735,0.005140563673105629,-0.0006635123291817819,0.0027595322208720874,-0.0010511273991138143,-6.7359589932231e-06,-0.0008036499594592393,0.0007902953883907534,-0.002436359651882423,0.00014430024540562476,0.0001511707311164398,-1.6847124421783182e-05,0.0001054388093101463,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C31/C17d,87435,-0.0987558252877355,0.08117076026314461,0.0034317725318068117,0.0025718180677730363,0.009193318653751902,0.00020031051776239333,0.01858969201428586,-0.004536642462195459,0.006506780653087163,0.0033434928197935473,-0.005950706308267887,-0.00105628620248819,-3.25789729405287e-05,0.0056546379325183955,-0.0013241099794862679,0.0033171152971735326,-0.000222199870220773,-0.00015118030363970366,2.0779095907951447e-05,-8.19956908588786e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d/C31,87436,-0.10920073714268612,-0.015849545584809766,-0.07361901522128612,-0.0053433526774428804,-0.02056516759425484,0.008848541620621535,0.0041228492286314675,2.293951235880926e-05,-0.0018868846348245117,0.0008397368428517435,-0.0006662601572817076,-0.00037535761476566567,2.8827772480230356e-07,9.256040274548846e-05,-0.00031321894663563537,4.508685337871319e-06,0.00026567827980398287,-1.2323799689700856e-05,2.054261239184444e-06,4.1954840818888864e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C31.9-C31h-C31i-C21ac,87823,-0.096571399262253,0.07968470883521751,0.002814224847305174,0.0017252889555018506,0.003372182584187565,0.0034400091792691784,-0.00819145944859299,0.0011672652637901078,0.00010247560082909683,0.006281551062426881,-0.011805055059754445,0.005859158994150715,8.4808197113722e-05,-0.009365337733128714,-0.00010662245575469334,0.0024107004913127383,-0.00029125172369253745,-0.00027434420843763357,2.366947692640473e-05,-0.000314646500464252,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C21ac-C31a-C17e-C31.9-C17f,87732,-0.08455534950188341,0.07099665383779691,0.003935609344830201,0.0006498261346013109,-0.0021869188630934152,0.0001582296410759553,-0.019213930791209668,0.0032883483881017473,0.006108523514446803,0.0007512597402921018,0.0048974491510947946,-0.001548956317993478,1.1132231740600322e-06,0.0019523174223786005,-0.0019031634769477253,0.002542393818940527,0.0009725468105255017,0.00019175186184666612,1.4585549192105077e-05,0.0020786657786601437,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C17d/C31-C21-C21ac-C17e-C17f-C31.9,87733,-0.07457056025319608,0.06378002570996232,0.005938706497166669,0.00010251714820061017,-0.004529189403585884,-0.004353528067639977,-0.019518542392373436,0.0031168116261369753,0.014736724013341237,0.00204434567849718,0.0051400690101475995,-0.0022989019011340484,-1.3494150950095832e-05,0.0008568257100143866,0.0008003403445797974,-0.0023407418110745243,-0.0004661164148918653,-6.288471277592958e-05,-2.2212209886261474e-05,-0.0017056458084420355,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C15/C31/C17d-C21-C15cl,87384,0.021069809081459223,0.10162784514465094,-0.04828521120412204,-0.012008654096175702,-0.03158135767592019,-0.01810849460844941,0.002238938565988095,0.00380748663476906,-0.00037576171167226795,0.0017359205295228307,0.0008315915881046139,8.675604328714873e-05,-1.7031847091916816e-06,0.0003542688291792616,0.0003170820980755383,-0.0001559107472297888,-9.257790216623278e-05,-1.8060824205576218e-05,-1.001511337124538e-05,-2.569173886337909e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C31-C17d-C31.1-C31a-C21-C17e-C21ac,87130,-0.10418202194276481,0.08553027692647121,0.004667632270253639,0.0030717064825405874,0.010005531994612545,0.002000908889573406,-0.0023685105754402825,-0.00020383774594310216,-0.004366057537194829,-0.006378618944200076,0.012061267309603914,-0.0013874718561041961,1.9587527646724304e-05,-0.004768252630153572,-0.0010544190898380452,0.0025251968061639598,0.0004077854964449975,-0.0003338831201991822,4.000076809576576e-05,-0.00015281013131940576,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C21ac-C31.9,87388,-0.07947641844993758,0.06742675752734816,0.0005150151031985387,6.17550405242338e-05,-0.004970636606035902,0.00397930415419083,-0.006259740774085612,0.00015376098774625484,-0.00016565583811313698,0.002543789289168237,-0.008025752524699687,0.0005467377031813531,-2.0746093458869246e-05,0.0021088350234633917,0.0014064241396074427,-0.00504409509784195,0.0005554886919308972,0.0004139612266798245,-2.7176173686359134e-05,0.0008524077256241129,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C31-C17d-C21-C21ac-C31.1-C31a,87408,-0.09183084707727167,0.07638217339223609,0.001858609165735274,0.0014519863197231643,0.0021123574795412314,0.004394332858023216,-0.002050675601925073,-0.00044450545884027165,-0.011766552802304245,-0.005677233793880694,0.0022573981266570935,0.00017429792569788175,-1.1851091128822338e-05,-0.0016751092939398641,0.0019075300921452252,-0.0043288593907492325,9.188701418487289e-05,0.0001150268528368067,-9.27903109925337e-06,0.0001726711635017825,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
