Date,Frag.ID,Mass.g,Temp.C,Days,TimePoint,Parent.ID,Treatment,Species,Time.Point,Depth,Tank.num,X,Clade
3/21/17,N98,5.429,26.53,0,Time0,317,Ambient,Porites_compressa,TF,2.2,9,,C15cj
3/22/17,761,24.248,24.333,0,Time0,355,Ambient,Pavona_varians,T1,3.8,1,,C27
3/22/17,785,6.148,24.033,0,Time0,302,Ambient,Pocillopora_acuta,T1,4.6,1,,CCC
3/22/17,797,17.777,24.042,0,Time0,365,Ambient,Montipora_capitata,T1,6.7,1,,CD
3/22/17,1254,10.676,24.255,0,Time0,362,Ambient,Pavona_varians,T1,6,1,,C27
3/22/17,2286,4.269,24.314,0,Time0,315,Ambient,Porites_compressa,T1,2.5,1,,C15n
3/22/17,2424,24.014,23.901,0,Time0,351,Ambient,Pavona_varians,T1,4.6,1,,C27
3/22/17,N117,5.104,24.181,0,Time0,319,Ambient,Porites_compressa,T1,3.1,1,,C15cj
3/22/17,N161,3.326,24.042,0,Time0,313,Ambient,Porites_compressa,T1,5.8,1,,C15n
3/22/17,N170,5.012,24.13,0,Time0,307,Ambient,Pocillopora_acuta,T1,4.9,1,,C42
3/22/17,N37,3.192,24.09,0,Time0,322,Ambient,Porites_compressa,T1,1.5,1,,C15cj
3/22/17,N45,2.087,24.08,0,Time0,369,Ambient,Montipora_capitata,T1,3.3,1,,CD
3/22/17,428,4.239,24.05,0,Time0,310,Ambient,Pocillopora_acuta,TF,4,1,,CCC
3/22/17,832,2.127,24.3,0,Time0,360,Ambient,Pavona_varians,TF,2,1,,C27
3/22/17,3081,5.199,24.064,0,Time0,304,Ambient,Pocillopora_acuta,TF,6.4,1,,CCC
3/22/17,3317,1.338,24.284,0,Time0,372,Ambient,Montipora_capitata,TF,5.6,1,,C
3/22/17,N77,5.016,24.17,0,Time0,314,Ambient,Porites_compressa,TF,2.1,1,,C15cj
3/22/17,179,1.813,25.583,0,Time0,369,High,Montipora_capitata,T1,3.3,2,,CD
3/22/17,490,13.518,25.122,0,Time0,357,High,Pavona_varians,T1,4.7,2,,C27
3/22/17,634,2.374,25.65,0,Time0,318,High,Porites_compressa,T1,2.1,2,,C15n
3/22/17,1857,22.022,24.727,0,Time0,362,High,Pavona_varians,T1,6,2,,C27
3/22/17,2285,1.313,25.22,0,Time0,365,High,Montipora_capitata,T1,6.7,2,,CD
3/22/17,3085,3.359,25.655,0,Time0,304,High,Pocillopora_acuta,T1,6.4,2,,CCC
3/22/17,3137,4.867,25.598,0,Time0,359,High,Pavona_varians,T1,2,2,,C27
3/22/17,3246,5.927,25.673,0,Time0,353,High,Pavona_varians,T1,3.6,2,,C1
3/22/17,3340,4.32,24.768,0,Time0,317,High,Porites_compressa,T1,2.2,2,,C15cj
3/22/17,3513,4.346,25.054,0,Time0,303,High,Pocillopora_acuta,T1,4.9,2,,CCC
3/22/17,3514,5.692,27.048,0,Time0,314,High,Porites_compressa,T1,2.1,2,,C15cj
3/22/17,N134,4.595,24.524,0,Time0,319,High,Porites_compressa,T1,3.1,2,,C15cj
3/22/17,N190,2.308,24.759,0,Time0,366,High,Montipora_capitata,T1,7,2,,CD
3/22/17,619,7.673,25.078,0,Time0,368,High,Montipora_capitata,TF,3.7,2,,CD
3/22/17,1166,2.837,24.591,0,Time0,354,High,Pavona_varians,TF,4.1,2,,C27
3/22/17,1771,2.463,24.785,0,Time0,302,High,Pocillopora_acuta,TF,4.6,2,,CCC
3/22/17,2893,4.477,24.76,0,Time0,311,High,Pocillopora_acuta,TF,7.3,2,,C42
3/22/17,3470,3.376,25.222,0,Time0,364,High,Montipora_capitata,TF,6,2,,CD
3/22/17,3515,2.335,24.572,0,Time0,308,High,Pocillopora_acuta,TF,6.7,2,,CCC
3/22/17,249,5.56,24.114,0,Time0,360,Ambient,Pavona_varians,T1,2,5,,C27
3/22/17,419,6.487,24.326,0,Time0,370,Ambient,Montipora_capitata,T1,3.7,5,,C
3/22/17,650,5.31,24.07,0,Time0,320,Ambient,Porites_compressa,T1,0.8,5,,C15cj
3/22/17,664,9.006,24.485,0,Time0,361,Ambient,Pavona_varians,T1,6.8,5,,C1
3/22/17,848,3.264,24.987,0,Time0,367,Ambient,Montipora_capitata,T1,5.8,5,,C
3/22/17,1443,4.205,25.115,0,Time0,308,Ambient,Pocillopora_acuta,T1,6.7,5,,CCC
3/22/17,1573,2.089,24.243,0,Time0,359,Ambient,Pavona_varians,T1,2,5,,C27
3/22/17,N124,4.754,24.646,0,Time0,318,Ambient,Porites_compressa,T1,2.1,5,,C15n
3/22/17,N149,4.679,24.557,0,Time0,321,Ambient,Porites_compressa,T1,1.3,5,,C15cj
3/22/17,N172,1.977,24.559,0,Time0,374,Ambient,Montipora_capitata,T1,3.2,5,,CD
3/22/17,377,2.974,24.612,0,Time0,373,Ambient,Montipora_capitata,TF,5.3,5,,C
3/22/17,1061,3.316,24.095,0,Time0,301,Ambient,Pocillopora_acuta,TF,4.9,5,,CCC
3/22/17,1688,27.014,24.066,0,Time0,362,Ambient,Pavona_varians,TF,6,5,,C27
3/22/17,3337,3.931,24.941,0,Time0,315,Ambient,Porites_compressa,TF,2.5,5,,C15n
3/22/17,N102,3.241,24.86,0,Time0,311,Ambient,Pocillopora_acuta,TF,7.3,5,,C42
3/22/17,N158,4.704,24.053,0,Time0,307,Ambient,Pocillopora_acuta,TF,4.9,5,,C42
3/22/17,N169,2.03,24.233,0,Time0,305,Ambient,Pocillopora_acuta,TF,6.1,5,,C42
3/22/17,N205,4.946,24.007,0,Time0,320,Ambient,Porites_compressa,TF,0.8,5,,C15cj
3/22/17,N42,2.948,24.135,0,Time0,364,Ambient,Montipora_capitata,TF,6,5,,CD
3/22/17,226,4.232,26.506,0,Time0,324,High,Porites_compressa,T1,0.8,7,,C15n
3/22/17,670,2.038,26.494,0,Time0,371,High,Montipora_capitata,T1,3.4,7,,C
3/22/17,1388,3.919,26.396,0,Time0,370,High,Montipora_capitata,T1,3.7,7,,C
3/22/17,1441,8.121,26.591,0,Time0,325,High,Pavona_varians,T1,2.6,7,,C1
3/22/17,1943,15.887,26.865,0,Time0,358,High,Pavona_varians,T1,4.8,7,,C1
3/22/17,3512,3.462,26.534,0,Time0,310,High,Pocillopora_acuta,T1,4,7,,CCC
3/22/17,473,2.975,26.352,0,Time0,305,High,Pocillopora_acuta,TF,6.1,7,,C42
3/22/17,775,5.561,26.681,0,Time0,361,High,Pavona_varians,TF,6.8,7,,C1
3/22/17,1502,5.19,26.899,0,Time0,322,High,Porites_compressa,TF,1.5,7,,C15cj
3/22/17,2663,15.94,26.309,0,Time0,355,High,Pavona_varians,TF,3.8,7,,C27
3/22/17,2879,5.695,26.424,0,Time0,301,High,Pocillopora_acuta,TF,4.9,7,,CCC
3/22/17,2948,13.766,26.947,0,Time0,351,High,Pavona_varians,TF,4.6,7,,C27
3/22/17,3422,7.318,26.702,0,Time0,373,High,Montipora_capitata,TF,5.3,7,,C
3/22/17,3467,4.22,26.749,0,Time0,323,High,Porites_compressa,TF,1,7,,C15n
3/22/17,3481,3.141,26.45,0,Time0,312,High,Pocillopora_acuta,TF,5.8,7,,CCC
3/22/17,3485,5.451,26.822,0,Time0,320,High,Porites_compressa,TF,0.8,7,,C15cj
3/22/17,3489,3.463,26.958,0,Time0,307,High,Pocillopora_acuta,TF,4.9,7,,C42
3/22/17,3491,3.935,26.3,0,Time0,321,High,Porites_compressa,TF,1.3,7,,C15cj
3/22/17,N212,1.874,26.566,0,Time0,374,High,Montipora_capitata,TF,3.2,7,,CD
3/22/17,1133,3.278,27.238,0,Time0,368,High,Montipora_capitata,T1,3.7,11,,CD
3/22/17,2001,6.273,27.256,0,Time0,354,High,Pavona_varians,T1,4.1,11,,C27
3/22/17,2736,4.009,27.048,0,Time0,311,High,Pocillopora_acuta,T1,7.3,11,,C42
3/22/17,3086,2.635,27.384,0,Time0,309,High,Pocillopora_acuta,T1,5.5,11,,C42
3/22/17,3490,2.857,26.857,0,Time0,308,High,Pocillopora_acuta,T1,6.7,11,,CCC
3/22/17,N150,1.53,27.088,0,Time0,364,High,Montipora_capitata,T1,6,11,,CD
3/22/17,335,2.118,27.41,0,Time0,363,High,Montipora_capitata,TF,5.4,11,,C
3/22/17,477,4.691,27.087,0,Time0,310,High,Pocillopora_acuta,TF,4,11,,CCC
3/22/17,972,3.35,27.307,0,Time0,316,High,Porites_compressa,TF,2,11,,C15n
3/22/17,1413,15.409,26.85,0,Time0,357,High,Pavona_varians,TF,4.7,11,,C27
3/22/17,1526,7.8669,27.342,0,Time0,358,High,Pavona_varians,TF,4.8,11,,C1
3/22/17,1803,4.435,27.04,0,Time0,325,High,Pavona_varians,TF,2.6,11,,C1
3/22/17,2136,12.278,27.216,0,Time0,362,High,Pavona_varians,TF,6,11,,C27
3/22/17,3204,2.355,26.809,0,Time0,370,High,Montipora_capitata,TF,3.7,11,,C
3/22/17,3444,4.949,26.862,0,Time0,315,High,Porites_compressa,TF,2.5,11,,C15n
3/22/17,3471,2.975,27.256,0,Time0,313,High,Porites_compressa,TF,5.8,11,,C15n
3/22/17,3476,8.274,27.354,0,Time0,319,High,Porites_compressa,TF,3.1,11,,C15cj
3/22/17,N138,5.081,26.825,0,Time0,324,High,Porites_compressa,TF,0.8,11,,C15n
3/23/17,263,3.475,24.667,0,Time0,361,Ambient,Pavona_varians,T0,6.8,1,,C1
3/23/17,N11,1.48,24.77,0,Time0,369,Ambient,Montipora_capitata,T0,3.3,1,,CD
3/23/17,N21,1.371,24.681,0,Time0,372,Ambient,Montipora_capitata,T0,5.6,1,,C
3/23/17,N56,2.574,24.614,0,Time0,309,Ambient,Pocillopora_acuta,T0,5.5,1,,C42
3/23/17,N7,3.038,24.803,0,Time0,321,Ambient,Porites_compressa,T0,1.3,1,,C15cj
3/23/17,49,7.704,25.106,0,Time0,317,High,Porites_compressa,T0,2.2,2,,C15cj
3/23/17,616,17.649,24.929,0,Time0,355,High,Pavona_varians,T0,3.8,2,,C27
3/23/17,N109,3.684,25.19,0,Time0,302,High,Pocillopora_acuta,T0,4.6,2,,CCC
3/23/17,N111,3.651,25.02,0,Time0,303,High,Pocillopora_acuta,T0,4.9,2,,CCC
3/23/17,N94,3.348,24.9,0,Time0,367,High,Montipora_capitata,T0,5.8,2,,C
3/23/17,1982,9.732,24.367,0,Time0,351,High,Pavona_varians,T0,4.6,3,,C27
3/23/17,N18,4.609,24.494,0,Time0,301,High,Pocillopora_acuta,T0,4.9,3,,CCC
3/23/17,N40,1.191,24.468,0,Time0,365,High,Montipora_capitata,T0,6.7,3,,CD
3/23/17,N87,3.48,24.52,0,Time0,305,High,Pocillopora_acuta,T0,6.1,3,,C42
3/23/17,N145,6.811,25.945,0,Time0,374,Ambient,Montipora_capitata,T0,3.2,4,,CD
3/23/17,N25,6.062,25.809,0,Time0,323,Ambient,Porites_compressa,T0,1,4,,C15n
3/23/17,N30,2.79,25.844,0,Time0,307,Ambient,Pocillopora_acuta,T0,4.9,4,,C42
3/23/17,N85,2.86,25.77,0,Time0,311,Ambient,Pocillopora_acuta,T0,7.3,4,,C42
3/23/17,488,31.85,25.594,0,Time0,358,Ambient,Pavona_varians,T0,4.8,5,,C1
3/23/17,755,4.286,25.465,0,Time0,312,High,Pocillopora_acuta,T0,5.8,5,,CCC
3/23/17,N19,7.029,25.564,0,Time0,319,Ambient,Porites_compressa,T0,3.1,5,,C15cj
3/23/17,N50,3.089,25.528,0,Time0,324,Ambient,Porites_compressa,T0,0.8,5,,C15n
3/23/17,N82,2.792,25.491,0,Time0,373,Ambient,Montipora_capitata,T0,5.3,5,,C
3/23/17,208,10.679,25.145,0,Time0,354,Ambient,Pavona_varians,T0,4.1,6,,C27
3/23/17,915,5.003,25.304,0,Time0,304,High,Pocillopora_acuta,T0,6.4,6,,CCC
3/23/17,N107,4.367,25.204,0,Time0,315,High,Porites_compressa,T0,2.5,6,,C15n
3/23/17,N47,5.762,25.245,0,Time0,316,High,Porites_compressa,T0,2,6,,C15n
3/23/17,N64,1.529,25.137,0,Time0,366,High,Montipora_capitata,T0,7,6,,CD
3/23/17,148,6.393,24.89,0,Time0,356,High,Pavona_varians,T0,5,7,,C1
3/23/17,N33,1.748,24.94,0,Time0,364,High,Montipora_capitata,T0,6,7,,CD
3/23/17,N60,3.727,24.89,0,Time0,318,High,Porites_compressa,T0,2.1,7,,C15n
3/23/17,N72,8.49,24.99,0,Time0,368,High,Montipora_capitata,T0,3.7,7,,CD
3/23/17,N3,3.367,24.76,0,Time0,322,Ambient,Porites_compressa,T0,1.5,8,,C15cj
3/23/17,N38,3.33,24.817,0,Time0,371,Ambient,Montipora_capitata,T0,3.4,8,,C
3/23/17,N6,9.341,24.72,0,Time0,310,Ambient,Pocillopora_acuta,T0,4,8,,CCC
3/23/17,N84,9.455,24.695,0,Time0,360,High,Pavona_varians,T0,2,8,,C27
3/23/17,231,7.998,24.447,0,Time0,359,Ambient,Pavona_varians,T0,2,9,,C27
3/23/17,391,15.662,24.26,0,Time0,357,Ambient,Pavona_varians,T0,4.7,9,,C27
3/23/17,1753,2.48,24.285,0,Time0,370,Ambient,Montipora_capitata,T0,3.7,9,,C
3/23/17,N4,2.445,24.312,0,Time0,308,Ambient,Pocillopora_acuta,T0,6.7,9,,CCC
3/23/17,914,3.354,24.32,0,Time0,325,High,Pavona_varians,T0,2.6,11,,C1
3/23/17,N2,2.478,24.184,0,Time0,306,Ambient,Pocillopora_acuta,T0,6.1,11,,CCC
3/23/17,N35,4.496,24.136,0,Time0,353,Ambient,Pavona_varians,T0,3.6,11,,C1
3/23/17,N70,2.75,24.2,0,Time0,313,High,Porites_compressa,T0,5.8,11,,C15n
3/23/17,N9,1.341,24.32,0,Time0,363,High,Montipora_capitata,T0,5.4,11,,C
4/14/17,179,1.905,29.443,23,Time1,369,High,Montipora_capitata,T1,3.3,2,,CD
4/14/17,490,13.822,29.682,23,Time1,357,High,Pavona_varians,T1,4.7,2,,C27
4/14/17,634,2.467,29.332,23,Time1,318,High,Porites_compressa,T1,2.1,2,,C15n
4/14/17,1857,22.214,29.557,23,Time1,362,High,Pavona_varians,T1,6,2,,C27
4/14/17,2285,1.363,28.808,23,Time1,365,High,Montipora_capitata,T1,6.7,2,,CD
4/14/17,3085,3.49,29.407,23,Time1,304,High,Pocillopora_acuta,T1,6.4,2,,CCC
4/14/17,3137,5.284,29.374,23,Time1,359,High,Pavona_varians,T1,2,2,,C27
4/14/17,3246,6.077,29.51,23,Time1,353,High,Pavona_varians,T1,3.6,2,,C1
4/14/17,3340,4.583,29.908,23,Time1,317,High,Porites_compressa,T1,2.2,2,,C15cj
4/14/17,3513,4.408,29.906,23,Time1,303,High,Pocillopora_acuta,T1,4.9,2,,CCC
4/14/17,3514,5.932,29.254,23,Time1,314,High,Porites_compressa,T1,2.1,2,,C15cj
4/14/17,N134,4.67,29.273,23,Time1,319,High,Porites_compressa,T1,3.1,2,,C15cj
4/14/17,N190,2.393,29.184,23,Time1,366,High,Montipora_capitata,T1,7,2,,CD
4/14/17,1166,3.14,29.133,23,Time1,354,High,Pavona_varians,TF,4.1,2,,C27
4/14/17,1771,2.572,29.847,23,Time1,302,High,Pocillopora_acuta,TF,4.6,2,,CCC
4/14/17,2893,4.546,29.367,23,Time1,311,High,Pocillopora_acuta,TF,7.3,2,,C42
4/14/17,3470,3.557,28.82,23,Time1,364,High,Montipora_capitata,TF,6,2,,CD
4/14/17,3515,2.368,29.474,23,Time1,308,High,Pocillopora_acuta,TF,6.7,2,,CCC
4/14/17,946,3.337,29.934,24,Time1,316,High,Porites_compressa,T1,2,3,,C15n
4/14/17,1068,7.724,29.7,24,Time1,356,High,Pavona_varians,T1,5,3,,C1
4/14/17,1110,4.181,29.746,24,Time1,321,High,Porites_compressa,T1,1.3,3,,C15cj
4/14/17,2142,5.414,29.023,24,Time1,302,High,Pocillopora_acuta,T1,4.6,3,,CCC
4/14/17,2402,3.493,29.539,24,Time1,306,High,Pocillopora_acuta,T1,6.1,3,,CCC
4/14/17,2629,8.282,29.279,24,Time1,355,High,Pavona_varians,T1,3.8,3,,C27
4/14/17,2849,5.776,29.349,24,Time1,360,High,Pavona_varians,T1,2,3,,C27
4/14/17,3025,3.955,29.634,24,Time1,307,High,Pocillopora_acuta,T1,4.9,3,,C42
4/14/17,3468,6.166,29.407,24,Time1,323,High,Porites_compressa,T1,1,3,,C15n
4/14/17,3472,2.159,29.229,24,Time1,372,High,Montipora_capitata,T1,5.6,3,,C
4/14/17,3477,4.343,29.149,24,Time1,312,High,Pocillopora_acuta,T1,5.8,3,,CCC
4/14/17,3479,2.145,29.478,24,Time1,367,High,Montipora_capitata,T1,5.8,3,,C
4/14/17,3482,1.888,29.95,24,Time1,373,High,Montipora_capitata,T1,5.3,3,,C
4/14/17,2018,2.207,29.067,24,Time1,365,High,Montipora_capitata,TF,6.7,3,,CD
4/14/17,2328,3.637,29.989,24,Time1,359,High,Pavona_varians,TF,2,3,,C27
4/14/17,2731,8.429,29.583,24,Time1,353,High,Pavona_varians,TF,3.6,3,,C1
4/14/17,3480,3.827,29.379,24,Time1,314,High,Porites_compressa,TF,2.1,3,,C15cj
4/14/17,3484,4.593,29.046,24,Time1,304,High,Pocillopora_acuta,TF,6.4,3,,CCC
4/14/17,3517,4.437,29.804,24,Time1,317,High,Porites_compressa,TF,2.2,3,,C15cj
4/14/17,N141,1.324,29.706,24,Time1,366,High,Montipora_capitata,TF,7,3,,CD
4/14/17,840,1.588,28.645,23,Time1,371,High,Montipora_capitata,TF,3.4,11,,C
4/14/17,314,2.181,29.687,24,Time1,305,High,Pocillopora_acuta,T1,6.1,6,,C42
4/14/17,1791,2.366,29.8,24,Time1,363,High,Montipora_capitata,T1,5.4,6,,C
4/14/17,2911,7.709,29.85,24,Time1,351,High,Pavona_varians,T1,4.6,6,,C27
4/14/17,3059,6.712,29.281,24,Time1,301,High,Pocillopora_acuta,T1,4.9,6,,CCC
4/14/17,3458,3.538,29.774,24,Time1,320,High,Porites_compressa,T1,0.8,6,,C15cj
