Plate Name,Experiment Name,Specimen Name,Sample Name,Workspace Name,Plot Name,Gate Name,X Parameter,Y Parameter,Event Count,% Parent,% Total,Mean X,Mean Y,Median X,Median Y,Std. Dev. X,Std. Dev. Y,% C.V. X,% C.V. Y,Concentration
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A8,Default,Global,All Events,Global,Global,"10,490",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","78.283582"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A8,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"1,488",Disabled,Disabled,"1,191,883.250000","4,877,165.000000","524,758.0","5,288,187.0",Disabled,Disabled,"124.020599%","56.476754%","11.104478"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A8,Default,BL3-H vs Count,R1,BL3-H,Count,"714",Disabled,Disabled,"4,275,572.500000","---","4,192,370.0","---",Disabled,Disabled,"28.467427%","---","5.328358"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A9,Default,Global,All Events,Global,Global,"9,840",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","72.888889"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A9,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"1,801",Disabled,Disabled,"1,338,919.375000","6,144,655.000000","966,895.0","7,819,400.0",Disabled,Disabled,"91.846849%","47.864384%","13.340741"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A9,Default,BL3-H vs Count,R1,BL3-H,Count,"224",Disabled,Disabled,"4,517,062.500000","---","4,799,081.5","---",Disabled,Disabled,"29.872594%","---","1.659259"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A10,Default,Global,All Events,Global,Global,"19,537",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","144.718519"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A10,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"2,470",Disabled,Disabled,"1,080,707.250000","4,112,222.750000","674,884.5","4,074,681.5",Disabled,Disabled,"112.765367%","64.031083%","18.296296"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A10,Default,BL3-H vs Count,R1,BL3-H,Count,"1,141",Disabled,Disabled,"4,355,189.000000","---","4,322,456.0","---",Disabled,Disabled,"25.876348%","---","8.451852"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A11,Default,Global,All Events,Global,Global,"49,443",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","366.244444"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A11,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"6,074",Disabled,Disabled,"1,445,684.750000","3,742,958.750000","692,249.0","3,139,142.5",Disabled,Disabled,"107.049402%","75.964082%","44.992593"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A11,Default,BL3-H vs Count,R1,BL3-H,Count,"2,341",Disabled,Disabled,"4,113,728.000000","---","4,105,295.0","---",Disabled,Disabled,"28.471438%","---","17.340741"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A12,Default,Global,All Events,Global,Global,"6,645",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","49.222222"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A12,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"908",Disabled,Disabled,"1,737,525.000000","5,778,760.500000","1,201,560.5","8,117,545.5",Disabled,Disabled,"86.067992%","57.042384%","6.725926"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A12,Default,BL3-H vs Count,R1,BL3-H,Count,"118",Disabled,Disabled,"3,752,472.500000","---","3,389,232.5","---",Disabled,Disabled,"35.876019%","---","0.874074"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B1,Default,Global,All Events,Global,Global,"9,062",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","67.626866"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B1,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"1,198",Disabled,Disabled,"1,217,965.500000","5,529,377.500000","897,520.0","8,089,025.5",Disabled,Disabled,"96.809187%","61.190396%","8.940299"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B1,Default,BL3-H vs Count,R1,BL3-H,Count,"135",Disabled,Disabled,"3,755,585.250000","---","3,659,563.0","---",Disabled,Disabled,"33.480697%","---","1.007463"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B2,Default,Global,All Events,Global,Global,"6,927",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","51.694030"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B2,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"1,032",Disabled,Disabled,"1,109,250.750000","5,966,054.500000","833,749.5","7,807,206.5",Disabled,Disabled,"90.551229%","50.545436%","7.701493"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B2,Default,BL3-H vs Count,R1,BL3-H,Count,"188",Disabled,Disabled,"4,424,570.500000","---","4,605,652.5","---",Disabled,Disabled,"29.185014%","---","1.402985"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B3,Default,Global,All Events,Global,Global,"10,460",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","78.059701"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B3,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"1,133",Disabled,Disabled,"1,353,640.125000","3,944,047.500000","758,073.0","3,697,463.0",Disabled,Disabled,"110.356058%","69.372928%","8.455224"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B3,Default,BL3-H vs Count,R1,BL3-H,Count,"516",Disabled,Disabled,"4,241,490.500000","---","4,165,869.0","---",Disabled,Disabled,"26.253530%","---","3.850746"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B4,Default,Global,All Events,Global,Global,"50,872",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","379.641791"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B4,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"4,734",Disabled,Disabled,"1,370,202.000000","3,462,091.250000","628,557.0","3,375,642.5",Disabled,Disabled,"109.740361%","73.492040%","35.328358"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B4,Default,BL3-H vs Count,R1,BL3-H,Count,"2,203",Disabled,Disabled,"4,257,632.000000","---","4,200,181.0","---",Disabled,Disabled,"24.127324%","---","16.440299"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B5,Default,Global,All Events,Global,Global,"8,299",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","61.932836"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B5,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"1,111",Disabled,Disabled,"1,919,610.625000","4,643,317.500000","1,411,236.0","6,110,064.0",Disabled,Disabled,"84.791024%","70.018349%","8.291045"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B5,Default,BL3-H vs Count,R1,BL3-H,Count,"248",Disabled,Disabled,"4,536,534.000000","---","4,894,532.0","---",Disabled,Disabled,"31.844215%","---","1.850746"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B6,Default,Global,All Events,Global,Global,"58,460",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","433.037037"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B6,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"4,373",Disabled,Disabled,"2,363,981.500000","3,789,129.750000","2,153,078.0","1,784,478.0",Disabled,Disabled,"64.884095%","85.931064%","32.392593"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B6,Default,BL3-H vs Count,R1,BL3-H,Count,"1,137",Disabled,Disabled,"3,959,475.250000","---","3,763,843.0","---",Disabled,Disabled,"31.806794%","---","8.422222"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B7,Default,Global,All Events,Global,Global,"20,567",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","153.485075"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B7,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"4,878",Disabled,Disabled,"1,361,580.500000","5,091,326.500000","801,984.5","5,488,541.5",Disabled,Disabled,"104.633742%","51.640790%","36.402985"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B7,Default,BL3-H vs Count,R1,BL3-H,Count,"2,262",Disabled,Disabled,"4,432,692.000000","---","4,439,449.5","---",Disabled,Disabled,"24.867462%","---","16.880597"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B8,Default,Global,All Events,Global,Global,"17,617",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","131.470149"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B8,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"1,651",Disabled,Disabled,"1,372,073.750000","4,911,668.000000","801,281.0","6,495,764.0",Disabled,Disabled,"110.062661%","67.426712%","12.320896"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B8,Default,BL3-H vs Count,R1,BL3-H,Count,"300",Disabled,Disabled,"4,131,621.750000","---","4,009,033.0","---",Disabled,Disabled,"34.001930%","---","2.238806"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B9,Default,Global,All Events,Global,Global,"29,690",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","221.567164"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B9,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"3,958",Disabled,Disabled,"2,026,404.000000","4,682,181.000000","1,238,382.5","5,440,489.0",Disabled,Disabled,"81.785721%","63.403449%","29.537313"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,B9,Default,BL3-H vs Count,R1,BL3-H,Count,"1,508",Disabled,Disabled,"4,549,588.500000","---","4,691,848.0","---",Disabled,Disabled,"25.979624%","---","11.253731"
