Date,Tank,GridLoc,Frag.ID,Time,F0,FM,Yield,Notes
20-Mar-17,1,B1,N170,20:18,105,437,759,
20-Mar-17,1,B2,761,,368,1225,699,
20-Mar-17,1,B3,2286,,606,1800,663,
20-Mar-17,1,B4,832,,300,896,665,
20-Mar-17,1,B5,3317,,296,915,676,
20-Mar-17,1,C1,N183,,225,783,712,
20-Mar-17,1,C3,1254,,766,1399,452,
20-Mar-17,1,C4,1895,,105,439,760,
20-Mar-17,1,C5,554,,482,1534,685,
20-Mar-17,1,D1,N117,,648,1955,668,
20-Mar-17,1,D2,N77,,430,1240,653,
20-Mar-17,1,D3,N37,,565,1655,658,
20-Mar-17,1,D4,N45,,219,744,705,
20-Mar-17,1,"D5",3081,,164,568,711,
20-Mar-17,1,E1,428,,148,482,692,
20-Mar-17,1,E2,797,,505,1336,622,
20-Mar-17,1,E3,785,,134,498,730,
20-Mar-17,1,E4,N161,,181,325,443,
20-Mar-17,1,E5,2424,,526,1424,630,
20-Mar-17,1,F1,1412,,182,666,726,
20-Mar-17,1,F2,697,,459,1260,635,
20-Mar-17,1,F3,1537,,682,1963,652,
20-Mar-17,1,F4,244,,759,1894,599,
20-Mar-17,4,B1,1279,19:50,143,358,600,
20-Mar-17,4,B2,N122,,799,2065,613,
20-Mar-17,4,B3,420,,490,872,438,
20-Mar-17,4,B4,284,,476,1370,652,
20-Mar-17,4,B5,436,,679,1595,574,
20-Mar-17,4,C1,1104,,431,975,557,
20-Mar-17,4,C2,N191,,834,1186,296,
20-Mar-17,4,C3,N89,,182,588,690,
20-Mar-17,4,C4,N110,,19,481,602,
20-Mar-17,4,C5,N115,,440,1203,634,
20-Mar-17,4,D1,N189,,383,906,577,
20-Mar-17,4,D2,N63,,509,1008,495,
20-Mar-17,4,D3,N126,,362,787,540,
20-Mar-17,4,D5,N49,,207,466,555,
20-Mar-17,4,E1,1418,,843,1428,409,
20-Mar-17,4,E2,N209,,176,415,575,
20-Mar-17,4,E3,199,,644,1747,631,
20-Mar-17,4,E4,1556,,432,1094,605,
20-Mar-17,4,E5,1195,,272,633,570,
20-Mar-17,4,F1,1330,,173,401,568,
20-Mar-17,4,F2,965,,249,515,516,
20-Mar-17,4,F3,626,,406,1354,700,
20-Mar-17,4,F4,828,,1076,1332,192,
20-Mar-17,8,B1,431,20:50,153,598,744,
20-Mar-17,8,B2,N208,,334,1044,680,
20-Mar-17,8,B3,N222,,478,1420,663,
20-Mar-17,8,B4,N223,,328,1250,737,
20-Mar-17,8,B5,N277,,283,979,710,
20-Mar-17,8,C1,N152,,233,582,599,
20-Mar-17,8,C2,1144,,134,285,529,
20-Mar-17,8,C3,N197,,119,532,776,
20-Mar-17,8,C4,N211,,550,1563,648,
20-Mar-17,8,C5,3442,,325,1245,738,
20-Mar-17,8,D1,809,,395,1822,673,
20-Mar-17,8,D2,N104,,113,477,763,
20-Mar-17,8,D3,N92,,215,664,676,
20-Mar-17,8,D4,422,,244,705,653,
20-Mar-17,8,D5,N192,,457,1601,714,
20-Mar-17,8,E1,3164,,99,363,727,
20-Mar-17,8,E2,2214,,714,1545,537,
20-Mar-17,8,E3,N78,,752,1988,621,
20-Mar-17,8,E4,2226,,87,474,816,
20-Mar-17,8,E5,N105,,539,1422,620,
20-Mar-17,8,F1,706,,138,581,762,
20-Mar-17,8,F2,1533,,168,710,763,
20-Mar-17,8,F3,3323,,455,1280,644,
20-Mar-17,8,F4,907,,961,2186,560,
20-Mar-17,9,B1,N184,20:28,384,1180,674,
20-Mar-17,9,B2,153,,321,1082,703,
20-Mar-17,9,B3,403,,92,298,691,
20-Mar-17,9,B4,1736,,380,1196,682,
20-Mar-17,9,B5,N132,,101,446,773,
20-Mar-17,9,C1,955,,633,1717,631,
20-Mar-17,9,C2,N108,,769,1662,537,
20-Mar-17,9,C3,N96,,357,1083,670,
20-Mar-17,9,C4,N98,,775,2112,633,
20-Mar-17,9,C5,471,,793,2369,665,
20-Mar-17,9,D1,1226,,308,998,691,
20-Mar-17,9,D2,N181,,155,559,722,
20-Mar-17,9,D3,N198,,170,602,717,
20-Mar-17,9,D5,N127,,234,683,657,
20-Mar-17,9,E1,579,,417,1497,721,
20-Mar-17,9,E2,3035,,106,369,712,
20-Mar-17,9,E3,1037,,747,1514,506,
20-Mar-17,9,E4,N131,,490,1418,654,
20-Mar-17,9,E5,779,,88,338,739,
20-Mar-17,9,F1,3075,,104,375,722,
20-Mar-17,9,F2,3149,,402,1180,659,
20-Mar-17,9,F3,982,,363,1242,707,
20-Mar-17,9,F4,1108,,504,1398,639,
