Date,Tank,GridLoc,Frag.ID,Time,F0,FM,Yield,Notes
13-Apr-17,1,A1,785,1935,154,475,675,
13-Apr-17,1,A2,2286,,656,2135,692,
13-Apr-17,1,A3,N183,,342,1021,665,
13-Apr-17,1,A4,554,,773,1966,606,
13-Apr-17,1,B1,2424,,793,2019,607,
13-Apr-17,1,B2,3317,,296,832,644,
13-Apr-17,1,B3,244,,635,1228,482,
13-Apr-17,1,B4,761,,593,1468,596,
13-Apr-17,1,C1,428,,129,391,630,
13-Apr-17,1,C2,832,,618,1444,572,
13-Apr-17,1,C3,1895,,129,426,697,
13-Apr-17,1,C4,N45,,368,1030,642,
13-Apr-17,1,D1,N170,,89,287,689,
13-Apr-17,1,D2,N37,,647,1185,637,
13-Apr-17,1,D3,161,,259,684,689,
13-Apr-17,1,D4,N117,,510,1499,637,
13-Apr-17,1,E1,697,,1002,2576,621,
13-Apr-17,1,E2,1412,,93,268,659,
13-Apr-17,1,E3,1537,,692,1956,611,
13-Apr-17,1,E4,1254,,799,1554,652,
13-Apr-17,1,F1,N77,,636,1635,646,
13-Apr-17,1,F2,3081,,129,408,683,
13-Apr-17,1,F3,797,,297,795,626,
13-Apr-17,2,A1,3513,2020,145,313,536,
13-Apr-17,2,A2,2401,,815,1734,529,
13-Apr-17,2,A3,1771,,54,117,538,
13-Apr-17,2,A4,238,,643,1221,493,
13-Apr-17,2,B1,1284,,166,336,505,
13-Apr-17,2,B2,490,,138,277,501,
13-Apr-17,2,B3,3246,,512,863,406,
13-Apr-17,2,B4,3515,,103,202,490,
13-Apr-17,2,C1,N134,,687,1550,556,
13-Apr-17,2,C2,1857,,671,1189,435,
13-Apr-17,2,C3,3340,,834,2071,597,
13-Apr-17,2,C4,634,,232,771,581,
13-Apr-17,2,D1,1166,,147,168,125,
13-Apr-17,2,D2,3137,,376,548,313,
13-Apr-17,2,D3,619,,831,2126,609,
13-Apr-17,2,D4,179,,547,1572,652,
13-Apr-17,2,E1,3514,,640,1411,546,
13-Apr-17,2,E2,2893,,91,180,494,
13-Apr-17,2,E3,N190,,393,983,600,
13-Apr-17,2,E5,3470,,222,475,532,
13-Apr-17,2,E4,3085,,139,353,606,
13-Apr-17,3,A1,3517,19:48,781,1802,566,
13-Apr-17,3,A2,3482,,318,824,614,
13-Apr-17,3,A3,617,,157,233,326,
13-Apr-17,3,A4,1068,,551,936,411,should be N63?
13-Apr-17,3,B1,2731,,603,936,355,
13-Apr-17,3,B2,2328,,628,927,322,
13-Apr-17,3,B3,2142,,97,238,592,
13-Apr-17,3,B4,2402,,111,203,453,Low
13-Apr-17,3,C1,N141,,369,867,574,
13-Apr-17,3,C2,946,,818,1996,590,
13-Apr-17,3,C3,3479,,501,1319,620,
13-Apr-17,3,C4,3480,,734,1504,511,
13-Apr-17,3,D1,2849,,152,305,501,
13-Apr-17,3,D2,3468,,1313,2875,543,
13-Apr-17,3,D3,3025,,158,380,584,
13-Apr-17,3,D4,1110,,579,1375,578,
13-Apr-17,3,E1,2018,,207,667,689,
13-Apr-17,3,E2,3472,,336,1025,672,
13-Apr-17,3,E3,3357,,667,1476,548,
13-Apr-17,3,E4,3484,,132,340,611,
13-Apr-17,3,F1,3477,,182,329,446,
13-Apr-17,3,F2,2629,,176,357,507,
13-Apr-17,3,F3,3116,,471,1201,607,
13-Apr-17,4,A1,199,20:35,297,829,641,
13-Apr-17,4,A2,N209,,130,387,664,
13-Apr-17,4,A3,N189,,238,768,690,
13-Apr-17,4,A4,N191,,475,910,478,
13-Apr-17,4,B1,N115,,710,1749,594,
13-Apr-17,4,B2,284,,836,2312,638,
13-Apr-17,4,B3,N49,,274,911,699,
13-Apr-17,4,B4,1418,,295,629,531,
13-Apr-17,4,C1,1556,,346,852,593,
13-Apr-17,4,C2,1104,,319,856,627,
13-Apr-17,4,C3,436,,218,491,556,
13-Apr-17,4,C4,N126,,138,428,677,
13-Apr-17,4,D1,N122,,625,1674,626,
13-Apr-17,4,D2,1330,,133,395,663,
13-Apr-17,4,D3,N89,,130,406,679,
13-Apr-17,4,D4,626,,698,2340,701,
13-Apr-17,4,E1,1195,,139,357,610,
13-Apr-17,4,E2,N110,,170,466,635,
13-Apr-17,4,E3,1279,,132,389,660,
13-Apr-17,4,E4,828,,436,777,438,
13-Apr-17,4,F1,63,,337,845,601,
13-Apr-17,4,F2,420,,444,910,512,
13-Apr-17,4,F3,965,,515,1420,637,
13-Apr-17,5,A1,664,20:03,202,421,520,
13-Apr-17,5,A2,650,,772,2041,621,
13-Apr-17,5,A3,N172,,472,1301,637,
13-Apr-17,5,A4,N124,,553,1411,608,
13-Apr-17,5,B1,N102,,159,492,676,
13-Apr-17,5,B2,N149,,1031,2324,556,
13-Apr-17,5,B3,1443,,97,316,693,
13-Apr-17,5,B4,N169,,135,433,688,
13-Apr-17,5,C1,848,,364,1218,701,
13-Apr-17,5,C2,N158,,134,421,681,
13-Apr-17,5,C3,478,,132,405,674,
13-Apr-17,5,C4,419,,390,1233,683,
13-Apr-17,5,D1,657,,477,1366,650,
13-Apr-17,5,D2,1688,,694,1645,578,
13-Apr-17,5,D3,417,,408,901,547,
13-Apr-17,5,D4,2730,,170,504,662,
13-Apr-17,5,E1,N205,,562,1634,656,
13-Apr-17,5,E2,N42,,477,1304,634,
13-Apr-17,5,E3,1061,,184,540,659,
13-Apr-17,5,E4,249,,353,1015,652,
13-Apr-17,5,F1,766,,810,1948,584,
13-Apr-17,5,F2,3337,,480,1449,668,
13-Apr-17,5,F3,377,,587,1734,661,
13-Apr-17,5,F4,1573,,706,1747,595,
13-Apr-17,6,A1,3478,20:45,196,472,584,
13-Apr-17,6,A2,3486,,101,197,487,
13-Apr-17,6,A3,3383,,563,939,400,
13-Apr-17,6,A4,N55,,517,1168,557,
13-Apr-17,6,B1,3469,,661,1453,549,
13-Apr-17,6,B2,925,,280,401,301,
13-Apr-17,6,B3,3473,,226,683,669,
13-Apr-17,6,B4,N157,,917,2261,594,
13-Apr-17,6,C1,3059,,102,268,619,
13-Apr-17,6,C2,1437,,320,797,598,
13-Apr-17,6,C3,3487,,130,248,475,
13-Apr-17,6,C4,1013,,126,257,509,
13-Apr-17,6,D1,2911,,422,568,257,
13-Apr-17,6,D2,3488,,402,956,579,
13-Apr-17,6,D3,3516,,112,177,367,
13-Apr-17,6,D4,3474,,431,1243,653,
13-Apr-17,6,E1,1791,,453,1459,681,
13-Apr-17,6,E2,314,,168,340,505,
13-Apr-17,6,E3,2284,,511,1525,664,
13-Apr-17,6,E4,881,,450,1203,625,
13-Apr-17,6,F1,3289,,519,1313,604,Low
13-Apr-17,6,F2,3475,,581,840,308,
13-Apr-17,6,F3,3458,,518,1158,552,
13-Apr-17,7,A1,775,21:00,531,740,282,
13-Apr-17,7,A2,3422,,656,1611,592,
13-Apr-17,7,A3,1107,,151,284,468,
13-Apr-17,7,A4,3489,,141,284,503,
13-Apr-17,7,B1,N212,,446,1084,588,
13-Apr-17,7,B2,2663,,643,1063,395,
13-Apr-17,7,B3,3491,,456,654,302,
13-Apr-17,7,B4,1502,,890,1893,529,
13-Apr-17,7,C1,2879,,125,295,576,
13-Apr-17,7,C2,508,,360,1733,561,
13-Apr-17,7,C3,3512,,150,326,539,
13-Apr-17,7,C4,1943,,549,904,392,
13-Apr-17,7,D1,670,,340,936,636,
13-Apr-17,7,D2,1388,,589,782,246,
13-Apr-17,7,D3,3481,,97,191,492,
13-Apr-17,7,D4,3485,,625,1309,522,
13-Apr-17,7,E1,473,,180,267,325,
13-Apr-17,7,E2,2948,,946,1260,249,
13-Apr-17,7,E3,3467,,1109,1911,419,
13-Apr-17,7,E4,1929,,526,893,410,
13-Apr-17,7,F1,226,,1067,2447,563,
13-Apr-17,7,F2,1441,,608,1085,439,
13-Apr-17,8,A1,809,21:38,941,2417,610,
13-Apr-17,8,A2,2226,,142,425,665,
13-Apr-17,8,A3,N78,,679,1886,639,
13-Apr-17,8,A4,N192,,573,1735,669,
13-Apr-17,8,B1,N222,,493,1197,588,
13-Apr-17,8,B2,431,,164,503,673,
13-Apr-17,8,B3,N104,,191,574,667,
13-Apr-17,8,B4,2214,,657,2181,698,
13-Apr-17,8,C1,3442,,1017,2549,601,
13-Apr-17,8,C2,422,,460,974,527,
13-Apr-17,8,C3,1144,,293,655,552,
13-Apr-17,8,C4,2478,,491,1202,591,
13-Apr-17,8,D1,1533,,491,1503,673,
13-Apr-17,8,D2,N217,,392,690,431,
13-Apr-17,8,D3,N211,,533,1539,653,
13-Apr-17,8,D4,N223,,498,1390,641,
13-Apr-17,8,E1,N105,,814,2067,606,
13-Apr-17,8,E2,N152,,335,1040,677,
13-Apr-17,8,E3,706,,125,334,625,
13-Apr-17,8,E4,907,,786,1593,506,
13-Apr-17,8,F1,N208,,247,731,662,
13-Apr-17,8,F2,3164,,123,293,583,
13-Apr-17,8,F3,N197,,199,656,696,
13-Apr-17,8,F4,N92,,301,917,671,
13-Apr-17,9,A1,N108,21:50,296,605,510,
13-Apr-17,9,A2,403,,146,389,624,
13-Apr-17,9,A3,982,,200,513,610,
13-Apr-17,9,A4,1226,,403,1146,648,
13-Apr-17,9,B1,955,,655,1331,507,
13-Apr-17,9,B2,3035,,146,389,624,
13-Apr-17,9,B3,579,,956,2607,633,
13-Apr-17,9,B4,471,,633,1351,531,
13-Apr-17,9,C1,N127,,354,916,613,
13-Apr-17,9,C2,779,,96,303,683,
13-Apr-17,9,C3,N181,,679,1794,621,
13-Apr-17,9,C4,N198,,210,658,680,
13-Apr-17,9,D1,N131,,554,1594,652,
13-Apr-17,9,D2,3149,,384,951,596,
13-Apr-17,9,D3,3075,,95,302,685,
13-Apr-17,9,D4,3075,,708,2037,652,
13-Apr-17,9,E1,N184,,288,877,671,
13-Apr-17,9,E2,N96,,192,450,573,
13-Apr-17,9,E3,1037,,540,1101,509,
13-Apr-17,9,E4,N132,,130,419,689,
13-Apr-17,9,F1,153,,402,1124,642,
13-Apr-17,9,F2,1240,,822,1472,441,
13-Apr-17,9,F3,1736,,330,688,520,
13-Apr-17,11,A1,472,21:27,362,870,503,
13-Apr-17,11,A2,2001,,291,429,321,
13-Apr-17,11,A3,3476,,527,1119,529,
13-Apr-17,11,A4,335,,280,752,627,
13-Apr-17,11,B1,3224,,763,1826,582,
13-Apr-17,11,B2,3444,,451,977,538,
13-Apr-17,11,B3,1133,,423,1143,629,
13-Apr-17,11,B4,1008,,421,680,380,
13-Apr-17,11,C1,1413,,558,1142,511,
13-Apr-17,11,C2,2683,,515,815,368,
13-Apr-17,11,C3,3086,,55,85,352,
13-Apr-17,11,C4,2736,,33,48,312,
13-Apr-17,11,D1,N138,,645,1652,609,
13-Apr-17,11,D2,840,,449,1162,613,
13-Apr-17,11,D3,3471,,528,1100,520,
13-Apr-17,11,D4,2136,,99,145,317,
13-Apr-17,11,E1,1526,,546,833,344,
13-Apr-17,11,E2,47,,113,244,536,
13-Apr-17,11,E3,3204,,381,1062,641,
13-Apr-17,11,E4,3490,,548,887,382,
13-Apr-17,11,F1,1803,,803,1947,587,
13-Apr-17,11,F2,N150,,363,878,586,
,,,,,,,,
