Frag.ID,Weight,Wax.weight,difference,Surface.area,,y = 41.025x + 7.4667
3444,7.6441,8.1585,0.5144,28.56996,,
3458,4.036,4.4509,0.4149,24.4879725,,
3467,5.7513,6.2022,0.4509,25.9648725,,
3468,7.6798,8.4102,0.7304,37.43136,,
3469,8.0202,8.8926,0.8724,43.25691,,
3470,5.8066,6.5432,0.7366,37.685715,,
3471,4.0276,4.316,0.2884,19.29831,,
3472,1.9604,2.3182,0.3578,22.145445,,
3473,2.192,2.5163,0.3243,20.7711075,,
3474,10.3724,11.0384,0.666,34.78935,,
3475,1.7897,1.9642,0.1745,14.6255625,,
3476,9.9172,10.8052,0.888,43.8969,,
3477,5.3311,6.0143,0.6832,35.49498,,
3478,15.6409,16.6563,1.0154,49.123485,,
3479,1.6967,1.9998,0.3031,19.9013775,,
3480,4.4047,4.8206,0.4159,24.5289975,,
3481,3.853,4.3466,0.4936,27.71664,,
3482,1.8248,2.2112,0.3864,23.31876,,
3484,6.339,7.0275,0.6885,35.7124125,,
3485,8.2686,8.8789,0.6103,32.5042575,,
3486,7.9751,9.0307,1.0556,50.77269,,
3487,5.1483,5.9184,0.7701,39.0600525,,
3488,5.5339,6.9789,1.445,66.747825,,
3489,4.2747,4.9518,0.6771,35.2447275,,
3490,3.5454,4.0758,0.5304,29.22636,,
3491,5.9736,6.3765,0.4029,23.9956725,,
3512,4.1484,4.6289,0.4805,27.1792125,,
3513,5.3334,6.0423,0.7089,36.5493225,,
3514,8.2653,8.992,0.7267,37.2795675,,
3515,2.6319,2.8924,0.2605,18.1537125,,
3516,1.4627,1.7244,0.2617,18.2029425,,
3517,7.5696,8.1262,0.5566,30.301215,,
N102,4.3802,4.8882,0.508,28.3074,,
N104,4.2907,4.9316,0.6409,33.7596225,,
N105,7.7235,8.2988,0.5753,31.0683825,,
N107,6.7435,7.3258,0.5823,31.3555575,,
N108,3.4524,3.8268,0.3744,22.82646,,
N109,4.6966,5.2395,0.5429,29.7391725,,
N11,0.699,0.8525,0.1535,13.7640375,,
N110,2.2759,2.6078,0.3319,21.0828975,,
N111,4.6183,5.2667,0.6484,34.06731,,
N115,9.9198,10.647,0.7272,37.30008,,
N117,6.9248,7.4754,0.5506,30.055065,,
N121,NA,2.0244,#VALUE!,#VALUE!,,
N122,3.7058,4.9983,1.2925,60.4915125,,
N124,6.5266,7.1361,0.6095,32.4714375,,
N126,0.6885,0.8978,0.2093,16.0532325,,
N127,2.7507,3.3638,0.6131,32.6191275,,
N131,12.65382,13.675,1.02118,49.3606095,,
N132,7.6294,8.672,1.0426,50.239365,,
