Date,Tank,GridLoc,Frag.ID,Time,F0,FM,Yield,Notes
23-Mar-17,1,A1,N11,19:28,335,1072,687,
23-Mar-17,1,A2,N7,,428,1314,674,
23-Mar-17,1,A3,N21,,537,1610,660,
23-Mar-17,1,A4,N56,,116,548,788,
23-Mar-17,1,A5,263,,431,1271,660,
23-Mar-17,2,A1,N109,,117,328,690,
23-Mar-17,2,A2,N94,,326,1265,742,
23-Mar-17,2,A3,49,,575,1356,575,
23-Mar-17,2,A4,N111,,105,487,784,
23-Mar-17,2,A5,616,,435,1621,731,
23-Mar-17,3,A1,74,,740,2051,639,
23-Mar-17,3,A2,N87,,153,602,745,
23-Mar-17,3,A3,N18,,124,430,711,
23-Mar-17,3,A4,N40,,452,1303,653,
23-Mar-17,3,A5,1982,,402,1277,685,
23-Mar-17,4,A1,N145,,252,897,719,
23-Mar-17,4,A2,N25,,567,1629,651,
23-Mar-17,4,A3,1240,,465,1001,535,
23-Mar-17,4,A4,N85,,121,543,777,
23-Mar-17,4,A5,N30,,102,453,774,
23-Mar-17,5,A1,N50,,724,2033,643,
23-Mar-17,5,A2,N82,,552,1762,686,
23-Mar-17,5,A3,755,,96,478,799,
23-Mar-17,5,A4,488,,365,1009,638,
23-Mar-17,5,A5,N19,,591,1622,635,
23-Mar-17,6,A1,208,,272,938,710,
23-Mar-17,6,A2,N107,,636,1897,664,
23-Mar-17,6,A3,N64,,193,670,711,
23-Mar-17,6,A4,1115,,109,431,747,
23-Mar-17,6,A5,N47,,636,1984,479,
23-Mar-17,7,A1,N72,,391,1408,722,
23-Mar-17,7,A2,148,,404,1000,596,
23-Mar-17,7,A4,N33,,557,1633,658,
23-Mar-17,7,A5,N60,,649,2167,700,
23-Mar-17,8,A1,N84,,733,2588,716,
23-Mar-17,8,A3,322,,683,2087,672,
23-Mar-17,8,A4,N38,,367,1327,723,
23-Mar-17,8,A5,N6,,149,525,716,
23-Mar-17,9,A1,31,,410,1279,679,
23-Mar-17,9,A2,231,,286,956,700,
23-Mar-17,9,A3,391,,449,1109,595,
23-Mar-17,9,A4,N4,,126,495,745,
23-Mar-17,9,A5,1753,,682,2074,671,
23-Mar-17,11,A1,N35,,547,1361,598,
23-Mar-17,11,A2,N70,,359,1099,673,
23-Mar-17,11,A3,914,,817,1720,525,
23-Mar-17,11,A4,N2,,10,488,754,
23-Mar-17,11,A5,N9,,224,781,713,
23-Mar-17,11,A5,N9b,,224,781,713,
23-Mar-17,7,A4,N33b,,557,1633,658,
23-Mar-17,3,A4,N40b,,452,1303,653,
23-Mar-17,6,A3,N64b,,193,670,711,
23-Mar-17,2,A2,N94b,,326,1265,742,
23-Mar-17,7,A1,N72b,,391,1408,722,
