Date,Tank,GridLoc,Frag.ID,Time,F0,FM,Yield,Notes
20-Apr-17,1,A1,1412,1949,138,330,581,
20-Apr-17,1,A2,N77,,675,1661,593,
20-Apr-17,1,A3,244,,485,999,514,
20-Apr-17,1,B1,832,,643,1407,542,
20-Apr-17,1,B2,428,,149,477,687,SOME  TISSUE FELL OFF
20-Apr-17,1,B3,1537,,697,2056,660,
20-Apr-17,1,C1,3317,,345,1081,680,
20-Apr-17,1,C2,3081,,168,560,700,TISSUE SLOUGH
20-Apr-17,1,C3,N183,,321,1119,713,
20-Apr-17,1,D1,697,,432,1117,613,
20-Apr-17,2,A1,1771,2043,,,,no sig
20-Apr-17,2,A2,3470,,656,1675,608,
20-Apr-17,2,A3,2401,,581,1266,541,
20-Apr-17,2,B1,1284,,79,209,622,
20-Apr-17,2,B2,619,,631,1753,640,
20-Apr-17,2,B3,3515,,60,130,538,
20-Apr-17,2,C1,634,,338,761,555,?
20-Apr-17,2,C2,3289,,669,1733,613,
20-Apr-17,2,C3,2893,,,,,no sigl
20-Apr-17,2,D1,1166,,106,107,9,LOW
20-Apr-17,2,D2,238,,477,931,487,
20-Apr-17,3,A1,3484,,149,328,545,
20-Apr-17,3,A2,2731,,421,762,447,
20-Apr-17,3,A3,2018,,280,717,609,
20-Apr-17,3,B1,3517,,427,639,331,
20-Apr-17,3,B2,3480,,438,835,475,MOSTLY DEAD
20-Apr-17,3,B3,2328,,421,670,371,"BLEACHED, PINK TIPS"
20-Apr-17,3,C1,N141,,313,724,567,
20-Apr-17,3,C2,3116,,413,1188,652,
20-Apr-17,3,C3,617,,,,,"PINK TIPS, no sigl"
20-Apr-17,3,D1,3357,,606,1312,538,
20-Apr-17,3,D2,1502,,423,847,500,BLEACHED
20-Apr-17,4,A1,1195,2051,182,495,632,
20-Apr-17,4,A2,N110,,367,1171,686,
20-Apr-17,4,A3,N115,,645,1701,620,
20-Apr-17,4,B1,1104,,276,772,642,
20-Apr-17,4,B2,1556,,452,1122,597,
20-Apr-17,4,B3,N191,,437,936,533,
20-Apr-17,4,C1,420,,248,540,540,
20-Apr-17,4,C2,1279,,107,381,719,
20-Apr-17,4,C3,965,,407,1308,688,
20-Apr-17,4,D1,1330,,50,206,757,
20-Apr-17,4,D2,N122,,680,1845,631,
20-Apr-17,4,D3,626,,697,2028,656,
