Time.Point,Frag.ID,channel,round,chamber,surface_area,vol,Photo,Resp,PR
T1,1110,5,9,5,26.9658825,248,5.43E-06,-0.000115252,0.04707681
T0,1133,3,11,3,24.17208,248,0.000220265,-0.000132216,1.665953229
T1,1133,2,1,2,24.17208,248,0.000194039,-0.000109516,1.771784349
T0,1144,2,4,2,24.2910525,248,0.00010296,-0.000106937,0.962808141
T0,1144,2,6,2,24.2910525,248,0.000141471,-0.000112476,1.257783853
T1,1144,2,18,2,24.2910525,248,3.93E-05,-0.000101145,0.388254503
T0,1166,6,3,6,25.1197575,248,0.000130884,-9.82E-05,1.332583333
T1,1166,7,18,7,25.1197575,248,-4.93E-05,-9.09E-05,-0.542222579
TF,1166,5,22,5,25.1197575,248,2.87E-05,-4.24E-05,0.676430948
T0,1195,8,2,8,30.7894125,248,8.85E-05,-0.000120186,0.736359548
T1,1195,4,16,4,30.7894125,248,5.31E-05,-8.19E-05,0.647971008
TF,1195,5,20,5,30.7894125,248,5.97E-05,-0.000130073,0.458682989
T0,1226,7,8,7,21.5916075,248,0.000178939,-0.000120106,1.48984069
T0,1226,7,10,7,21.5916075,248,0.000180005,-0.000113297,1.588782938
T1,1226,5,9,5,21.5916075,248,0.000151133,-0.000125527,1.203989254
T0,1254,6,4,6,28.414065,248,0.000157122,-9.83E-05,1.597700826
T1,1254,6,3,6,28.414065,248,9.30E-05,-0.000107267,0.866755312
T0,1279,1,1,1,62.4114825,248,3.67E-05,-8.82E-05,0.415650662
T0,1279,3,10,3,62.4114825,248,7.28E-05,-8.18E-05,0.8902212
T1,1279,6,15,6,62.4114825,248,3.86E-05,-6.81E-05,0.566913975
TF,1279,5,22,5,62.4114825,248,2.75E-05,-6.99E-05,0.393023405
T0,1388,4,9,4,51.3675525,248,0.000207621,-0.00010644,1.950582937
T1,1388,5,6,5,51.3675525,248,-1.65E-05,-7.65E-05,-0.216003918
T0,1413,3,12,3,35.6877975,248,0.000279296,-0.000167304,1.669386176
T1,1413,5,5,5,35.6877975,248,8.53E-05,-7.87E-05,1.083615545
T1,1413,6,2,6,35.6877975,248,4.82E-05,-8.03E-05,0.600230388
TF,1413,2,5,2,35.6877975,248,0.000122673,-8.23E-05,1.489892381
T0,1418,6,2,6,38.4816,248,8.37E-05,-9.17E-05,0.912822215
T1,1418,6,13,6,38.4816,248,3.82E-05,-7.51E-05,0.508072463
T0,1437,2,2,2,33.5873175,248,0.000163688,-9.04E-05,1.810785823
T1,1437,2,14,2,33.5873175,248,5.39E-05,-6.46E-05,0.833905529
TF,1437,2,15,2,33.5873175,248,0.00019517,-0.000108713,1.795284835
T0,1441,3,8,3,54.9449325,248,0.000195799,-0.000142839,1.37076313
T1,1441,3,6,3,54.9449325,248,3.93E-05,-9.57E-05,0.410863434
T0,1443,3,7,3,36.1883025,248,0.000140461,-0.000115324,1.217967212
T0,1502,8,7,8,33.255015,248,0.000330163,-0.000213783,1.544385406
T1,1502,7,7,7,33.255015,248,4.68E-06,-0.000162115,0.028867469
TF,1502,2,12,2,33.255015,248,0.000376766,-0.000188987,1.993606561
T0,1526,4,11,4,25.558725,248,0.000162737,-0.000101488,1.603505322
T1,1526,7,3,7,25.558725,248,3.93E-05,-8.76E-05,0.449204513
TF,1526,5,1,5,25.558725,248,0.00012819,-6.37E-05,2.013478781
T0,1556,1,2,1,28.65201,248,0.000220821,-0.00011094,1.990455959
T0,1556,3,11,3,28.65201,248,6.44E-05,-9.81E-05,0.656619444
T1,1556,6,14,6,28.65201,248,1.75E-05,-0.000123274,0.141691256
T0,1573,3,8,3,22.030575,248,0.000183386,-0.000126,1.455444098
T1,1573,2,8,2,22.030575,248,8.31E-05,-0.000138627,0.599783928
T0,1688,7,9,7,77.7015,248,0.000199581,-0.000137732,1.44905676
T1,1688,6,6,6,77.7015,248,5.88E-05,-8.53E-05,0.690046584
T0,1736,3,7,3,52.1962575,248,0.00011756,-0.000174328,0.674364478
T0,1736,8,7,8,52.1962575,248,0.00024771,-0.000143218,1.729605294
T1,1736,4,12,4,52.1962575,248,0.000182777,-0.00011977,1.526071346
T0,1753,2,8,2,33.41091,248,0.000197886,-7.32E-05,2.702755272
T0,1771,6,2,6,30.50634,248,7.77E-05,-0.000132217,0.587746368
T1,1771,6,16,6,30.50634,248,-5.38E-05,-6.48E-05,-0.830394679
TF,1771,2,20,2,30.50634,248,3.36E-05,-7.05E-05,0.476341592
T0,1791,7,3,7,21.5013525,248,0.000264455,-0.000153993,1.717314241
T1,1791,7,13,7,21.5013525,248,-0.001824541,-6.55E-05,-27.86217577
T0,1803,6,11,6,37.2549525,248,0.000175668,-0.000102591,1.712317745
T1,1803,3,3,3,37.2549525,248,5.13E-05,-5.71E-05,0.899303155
TF,1803,2,4,2,37.2549525,248,8.85E-05,-9.38E-05,0.94373742
T0,1857,4,3,4,55.02288,248,0.00029004,-0.000125999,2.30192447
T1,1857,5,15,5,55.02288,248,-2.16E-05,-7.31E-05,-0.294855574
T0,1895,4,5,4,53.6075175,248,0.000134443,-9.40E-05,1.429997376
T1,1895,2,2,2,53.6075175,248,0.000126023,-8.13E-05,1.551044394
T0,1943,3,7,3,43.281525,248,0.000197746,-0.000131487,1.50392758
T1,1943,5,5,5,43.281525,248,0.000130525,-0.000110366,1.182654063
T0,2001,5,11,5,50.5470525,248,0.000266195,-0.000128971,2.06398837
T1,2001,4,1,4,50.5470525,248,-1.30E-05,-5.89E-05,-0.220823216
T0,2018,5,5,5,24.51669,248,0.000232947,-0.000103519,2.250283216
T1,2018,4,10,4,24.51669,248,5.73E-05,-8.95E-05,0.640088049
TF,2018,4,11,4,24.51669,248,0.000148213,-8.40E-05,1.764350219
T0,2136,2,11,2,59.2197375,248,0.000152216,-7.98E-05,1.907033412
T1,2136,6,3,6,59.2197375,248,-8.30E-06,-3.82E-05,-0.217612676
TF,2136,5,3,5,59.2197375,248,3.36E-05,-2.35E-05,1.428629087
T0,2142,8,11,BEAKER_500,54.325455,660,-3.39E-05,-6.73E-05,-0.503442178
T1,2142,3,11,3,54.325455,248,-2.63E-05,-7.07E-05,-0.371859407
T0,2214,8,5,8,36.1636875,248,0.000177882,-0.000115489,1.540243224
T1,2214,7,17,7,36.1636875,248,0.000161175,-0.000159673,1.009404373
T0,2226,6,5,6,74.3661675,248,4.37E-05,-3.74E-05,1.167893489
T1,2226,6,16,6,74.3661675,248,1.96E-05,-3.09E-05,0.633668404
T0,2284,7,2,7,20.9680275,248,0.000186495,-0.000112029,1.664694981
T1,2284,5,13,5,20.9680275,248,6.49E-05,-9.20E-05,0.705342365
TF,2284,5,17,5,20.9680275,248,0.000173712,-0.000117495,1.478459147
T0,2285,8,1,8,15.679905,248,0.000189167,-0.000144497,1.309141469
T0,2286,4,4,4,28.118685,248,0.000348961,-0.000197848,1.763778978
T1,2286,3,1,3,28.118685,248,0.000200945,-0.000205103,0.979727641
T0,2328,2,5,2,28.693035,248,0.000229886,-0.000132537,1.734501967
T1,2328,4,8,4,28.693035,248,1.67E-05,-7.11E-05,0.234554773
TF,2328,4,12,4,28.693035,248,0.000122451,-8.74E-05,1.400481808
T0,2402,8,6,8,27.8684325,248,6.99E-05,-0.000112163,0.623174089
T1,2402,2,8,2,27.8684325,248,-1.63E-05,-6.74E-05,-0.241186308
T0,2424,5,6,5,54.768525,248,0.000200239,-0.000154713,1.294260504
T1,2424,4,1,4,54.768525,248,0.000111367,-0.000129989,0.856740777
T0,2629,6,5,6,31.7247825,248,0.000207653,-0.000124879,1.662824767
T1,2629,6,10,6,31.7247825,248,-7.16E-05,-7.02E-05,-1.020511417
T0,2663,3,9,3,70.9036575,248,0.000203288,-0.000117149,1.735293188
T1,2663,3,4,3,70.9036575,248,9.72E-07,-6.38E-05,0.015239301
TF,2663,4,9,4,70.9036575,248,8.53E-05,-5.69E-05,1.499617033
T0,2731,8,5,8,39.3472275,248,0.000152301,-0.000152306,0.999966257
T1,2731,5,8,5,39.3472275,248,7.79E-05,-9.54E-05,0.817051185
TF,2731,5,14,5,39.3472275,248,9.80E-05,-7.40E-05,1.323994736
T0,2736,8,12,8,35.13396,248,0.000278159,-0.000131218,2.119825719
T1,2736,7,2,7,35.13396,248,-8.74E-05,-0.000137018,-0.638235806
T0,2849,4,6,4,23.8767,248,0.000271315,-0.000157239,1.725494653
T1,2849,3,9,3,23.8767,248,-3.28E-05,-0.000106731,-0.307054231
T0,2879,6,9,6,55.49877,248,0.000143751,-9.70E-05,1.482258755
T1,2879,8,5,8,55.49877,248,-6.06E-05,-0.000121209,-0.499689197
TF,2879,5,7,5,55.49877,248,0.000124886,-3.60E-05,3.472345696
T0,2893,3,2,3,39.8313225,248,0.000140546,-0.000137463,1.022428377
T1,2893,4,17,4,39.8313225,248,-7.89E-05,-6.39E-05,-1.234086485
TF,2893,5,19,5,39.8313225,248,4.44E-06,-2.78E-05,0.15982843
T0,2911,6,1,6,33.2016825,248,0.000223936,-0.00010587,2.115196948
T1,2911,2,13,2,33.2016825,248,-5.11E-06,-6.28E-05,-0.081394856
T0,2948,5,7,5,41.9071875,248,0.000287898,-0.0001267,2.2722885
T1,2948,3,7,3,41.9071875,248,2.14E-05,-8.36E-05,0.255781243
TF,2948,2,10,2,41.9071875,248,0.000294448,-5.33E-05,5.522292707
T0,3025,6,4,6,38.9041575,248,0.000113768,-0.000132498,0.858639266
T1,3025,7,9,7,38.9041575,248,1.21E-05,-9.38E-05,0.128936001
T0,3035,2,9,2,17.78859,248,0.000142193,-0.00011844,1.200552362
T1,3035,2,9,2,17.78859,248,9.99E-05,-0.000125565,0.795768099
T0,3059,5,3,5,56.5120875,248,0.000122188,-9.81E-05,1.245729303
T1,3059,6,14,6,56.5120875,248,-5.30E-05,-8.01E-05,-0.661049794
T0,3081,6,14,BEAKER500ML,52.487535,660,0.000138171,-9.43E-05,1.465363753
T1,3081,6,4,6,52.487535,248,6.19E-05,-0.000121649,0.508905734
TF,3081,5,2,5,52.487535,248,6.95E-05,-7.34E-05,0.947003703
T0,3085,7,1,7,31.49094,248,0.000112169,-0.000122329,0.916950118
T1,3085,4,18,4,31.49094,248,-4.03E-05,-7.24E-05,-0.556558447
T0,3086,6,10,6,31.4129925,248,0.000155912,-0.000136758,1.140064281
T1,3086,3,2,3,31.4129925,248,-0.000111573,-0.000119565,-0.933155602
T0,3137,6,1,6,34.1042325,248,0.000181315,-9.12E-05,1.98898842
T1,3137,2,18,2,34.1042325,248,-2.77E-05,-7.36E-05,-0.37631348
T1,3149,3,11,3,11.79894,248,9.58E-05,-0.000121038,0.791624642
T0,3164,7,5,7,18.535245,248,0.000133999,-9.70E-05,1.381423976
T1,3164,5,20,5,18.535245,248,1.76E-05,-7.86E-05,0.223430988
TF,3164,4,16,4,18.535245,248,0.000111014,-9.43E-05,1.177540984
T0,3204,8,13,8,27.5320275,248,0.000255825,-0.000118929,2.151080152
T1,3204,5,3,5,27.5320275,248,0.000176346,-8.44E-05,2.088901155
TF,3204,4,4,4,27.5320275,248,0.000233884,-9.86E-05,2.372153754
T0,3246,2,1,2,18.4162725,248,0.000208977,-0.000136868,1.526849666
T1,3246,3,15,3,18.4162725,248,6.59E-05,-7.36E-05,0.895163713
T0,3317,5,4,5,15.9629775,248,0.000136125,-0.000103823,1.311121207
T1,3317,5,2,5,15.9629775,248,0.000196997,-9.91E-05,1.988248698
TF,3317,4,1,4,15.9629775,248,0.000215219,-8.25E-05,2.609064238
T0,3337,6,7,6,27.790485,248,0.00027384,-0.000176819,1.54869945
T1,3337,4,8,4,27.790485,248,0.000249951,-0.000178921,1.396987441
TF,3337,4,6,4,27.790485,248,0.000307082,-0.000151938,2.021102618
T0,3340,8,2,8,36.8611125,248,0.0002134,-0.0001738,1.227852102
T1,3340,6,15,6,36.8611125,248,5.08E-05,-8.07E-05,0.630069044
T0,3383,3,3,3,21.4439175,248,0.000116904,-0.000125829,0.929064978
T1,3383,7,11,7,21.4439175,248,0.000135369,-5.96E-05,2.271307841
T1,3383,7,12,7,21.4439175,248,-5.62E-06,-5.96E-05,-0.094342652
TF,3383,5,15,5,21.4439175,248,0.000167749,-5.19E-05,3.235248664
T0,3422,5,8,5,62.579685,248,0.000254658,-9.75E-05,2.611436996
T1,3422,7,4,7,62.579685,248,0.000268128,-0.000139841,1.917371863
TF,3422,4,10,4,62.579685,248,0.000262802,-9.03E-05,2.910718883
T0,3442,3,4,3,37.9934025,248,0.000269571,-0.000166787,1.616257624
T0,3442,4,6,4,37.9934025,248,0.000244655,-0.000159555,1.533363325
T1,3442,6,18,6,37.9934025,248,0.000163162,-0.000151756,1.075160468
TF,3442,5,15,5,37.9934025,248,0.000300143,-0.000140136,2.141793979
T0,3444,5,12,5,28.56996,248,0.000517391,-0.000255009,2.028912787
T1,3444,8,1,8,28.56996,248,2.70E-05,-0.000139878,0.193183518
TF,3444,5,4,5,28.56996,248,0.000342958,-0.000143135,2.396050714
T0,3458,8,3,8,24.4879725,248,0.000146966,-0.000134452,1.093075566
T1,3458,6,13,6,24.4879725,248,-2.06E-05,-9.80E-05,-0.209894837
T0,3467,6,8,6,25.9648725,248,0.000294922,-0.000185886,1.586579092
T1,3467,2,6,2,25.9648725,248,0.000150526,-0.000127165,1.183709295
TF,3467,2,9,2,25.9648725,248,0.000541987,-0.000190204,2.849505225
T0,3468,3,5,3,37.43136,248,0.000269439,-0.000207895,1.296032877
T1,3468,4,9,4,37.43136,248,0.000149012,-0.000127941,1.164697826
T0,3469,4,1,4,43.25691,248,0.000276778,-0.000104363,2.652081312
T1,3469,6,12,6,43.25691,248,4.80E-05,-8.75E-05,0.548665845
T0,3470,4,1,4,37.685715,248,0.00017563,-0.000123819,1.41844409
TF,3470,2,21,2,37.685715,248,0.000226442,-0.000137398,1.648077504
T0,3471,8,11,8,19.29831,248,0.00046954,-0.000246344,1.906033048
T1,3471,4,3,4,19.29831,248,0.000101466,-6.69E-05,1.515879902
TF,3471,5,2,5,19.29831,248,0.000279295,-9.66E-05,2.890040345
T0,3472,7,5,7,22.145445,248,0.000254587,-0.000108183,2.353294766
T1,3472,5,10,5,22.145445,248,0.000161627,-8.17E-05,1.978237129
T0,3473,3,1,3,20.7711075,248,0.000245509,-8.60E-05,2.855556144
T1,3473,5,12,5,20.7711075,248,8.60E-05,-6.59E-05,1.306137129
TF,3473,2,19,2,20.7711075,248,0.00023175,-7.70E-05,3.008295432
T0,3474,3,2,3,34.78935,248,0.000228922,-0.000118752,1.92772875
T1,3474,3,14,3,34.78935,248,5.47E-05,-8.23E-05,0.664244203
TF,3474,5,16,5,34.78935,248,0.000156613,-0.000100501,1.558315019
T0,3475,4,2,4,14.6255625,248,0.000207435,-0.00019225,1.078986827
