Time.Point,Frag.ID,channel,round,chamber,surface_area,vol,Photo,Resp,PR
T0,N124,8,7,8,32.4714375,248,0.000394862,-0.000248666,1.587921816
T1,N124,4,5,4,32.4714375,248,0.000256209,-0.000154097,1.662644119
T0,N126,2,2,2,16.0532325,248,7.43E-05,-0.000118069,0.629543451
T1,N126,5,14,5,16.0532325,248,4.95E-05,-8.81E-05,0.561420563
T0,N131,3,9,3,49.3606095,248,0.000353839,-0.000215401,1.642700559
T1,N131,4,10,4,49.3606095,248,0.000289982,-0.000192198,1.50876605
TF,N131,4,11,4,49.3606095,248,0.000273612,-0.000166883,1.63954685
T0,N132,5,7,5,50.239365,248,0.000120771,-0.000106788,1.130946819
T1,N132,6,11,6,50.239365,248,5.07E-05,-0.00010675,0.475377828
TF,N132,5,8,5,50.239365,248,8.00E-05,-8.75E-05,0.91340796
T0,N134,8,3,8,27.7535625,248,0.000206515,-0.000128093,1.612233718
T1,N134,3,17,3,27.7535625,248,3.64E-05,-3.63E-05,1.003057053
T0,N138,5,13,5,39.5277375,248,0.000400196,-0.000137194,2.917003526
T1,N138,2,2,2,39.5277375,248,0.000118645,-0.000116831,1.015524289
TF,N138,2,3,2,39.5277375,248,0.000424572,-0.000109581,3.874500035
T0,N141,7,4,7,16.2911775,248,0.000159389,-0.000134817,1.182264493
T1,N141,3,8,3,16.2911775,248,4.74E-05,-9.95E-05,0.475847609
TF,N141,4,13,4,16.2911775,248,0.000128658,-9.74E-05,1.321034296
T0,N145,3,3,3,45.3943125,248,0.000211465,-0.00010614,1.992331663
T0,N149,8,8,8,22.243905,248,0.000370139,-0.000244627,1.513070956
T1,N149,6,5,6,22.243905,248,0.000210938,-0.000214112,0.985175552
T0,N150,4,12,4,17.3660325,248,0.000183984,-0.000120896,1.521836656
T1,N150,8,3,8,17.3660325,248,0.00013698,-9.83E-05,1.39308491
T0,N152,7,3,7,48.5696475,248,0.00023427,-0.000130241,1.798749022
T1,N152,2,20,2,48.5696475,248,6.56E-05,-8.57E-05,0.766227703
TF,N152,4,13,4,48.5696475,248,0.000247795,-0.000100659,2.461726144
T0,N157,5,1,5,26.86332,248,0.000243444,-0.000137322,1.772797383
T1,N157,4,12,4,26.86332,248,5.15E-05,-4.34E-05,1.185100816
T0,N158,5,9,5,38.4118575,248,0.000182474,-0.00014996,1.216812597
T1,N158,5,6,5,38.4118575,248,0.00020372,-0.000108278,1.88144302
T0,N161,3,6,3,23.61414,248,0.000318385,-0.000203309,1.56601596
T1,N161,7,3,7,23.61414,248,0.00030721,-0.000189317,1.62272917
T0,N169,6,8,6,20.82444,248,9.28E-05,-0.000120204,0.772038196
