Frag.ID,Rep1,Rep2
N217A,4.606148333,3.767421667
3025,1.007426667,1.158546667
1110,0.97812,1.01398
3477,0.178201667,0.191643333
3148,0.004968333,0.007193333
2893,0.059573333,0.061371667
3516,0.010058333,0.005181667
2285,1.253751667,4.639001667
3478,2.069336667,1.516338333
3514,5.261208333,2.143196667
1068,1.923948333,5.813593333
N138,5.882878333,1.97862
422,5.867903333,6.404153333
1166,0.282016667,0.116601667
N211,-0.325593333,-1.59478
490,12.00317833,15.63720167
3512,0.166268333,0.230795
946,11.14765333,12.04730333
2284,3.99883,4.310366667
1195,0.651605,0.706466667
2136,0.602576667,0.68635
N122,6.892333333,7.469458333
N223,2.76547,3.161756667
2629,0.125745,0.282535
3059,0.43719,0.469103333
3476,0.014066667,-0.002225
2736,0.019263333,0.046451667
N217B,0.649133333,0.685725
477,0.26792,0.302805
1502,5.363621667,5.826446667
832,0.546233333,0.70479
3085,0.556933333,0.630175
420,1.156625,1.237581667
1388,2.937805,3.30919
N42,9.957771667,10.64392333
3164,0.493563333,0.469133333
2226,0.841585,0.914828333
1104,2.851683333,2.971485
N110,3.256138333,3.480805
Blank,-0.073243333,-0.005425
1857,1.249711667,1.441021667
3137,1.043195,1.261768333
3038,0.054391667,0.05523
2214,4.38349,4.694371667
1803,0.551095,0.605288333
3204,5.428695,5.915843333
