Date,Tank,GridLoc,Frag.ID,Time,F0,FM,Yield,Notes
4-May-17,8,A1,N223,,576,1278,596,
4-May-17,8,E2,N217,,258,593,564,
4-May-17,7,D2,N212,,416,1307,681,
4-May-17,8,D1,N211,,764,2087,633,
4-May-17,8,B3,N208,,455,1566,709,
4-May-17,5,B2,N205,,902,2214,592,
4-May-17,4,D3,N189,,707,1721,589,
4-May-17,4,C3,N191,,364,728,500,
4-May-17,1,C3,N183,,293,960,694,
4-May-17,5,B1,N169,,131,428,693,
4-May-17,5,A1,N158,20:45,95,322,704,
4-May-17,8,D3,N152,,386,1152,664,
4-May-17,3,A1,N141,20:56,386,972,602,
4-May-17,11,B3,N138,,901,2209,592,
4-May-17,9,C3,N132,,124,413,699,
4-May-17,9,B1,N131,,709,1768,598,
4-May-17,9,B2,N127,,306,785,610,
4-May-17,4,B3,N122,,769,2071,628,
4-May-17,4,E3,N115,,734,1692,566,
4-May-17,4,A1,N110,20:19,367,1059,653,
4-May-17,8,F1,N105,,874,2084,580,
4-May-17,5,D1,N102,,218,619,647,
4-May-17,9,A2,N98,,826,2193,623,
4-May-17,9,C2,N96,,402,1230,673,
4-May-17,1,B1,N77,,727,1763,587,
4-May-17,6,B3,N55,,313,674,535,
4-May-17,4,C1,N49,,278,907,693,
4-May-17,5,A3,N42,,499,1415,647,
4-May-17,2,B3,619,,609,1771,656,
4-May-17,2,D1,238,,506,1101,540,
4-May-17,1,A1,244,21:02,484,833,418,
4-May-17,11,B1,335,,447,1335,665,
4-May-17,5,B3,377,,539,1695,682,
4-May-17,9,A1,403,19:47,263,757,652,
4-May-17,5,D3,417,,682,1338,490,
4-May-17,4,C2,420,,406,902,549,
4-May-17,8,B1,422,,422,895,528,
4-May-17,6,D2,925,,562,1397,597,DARK/LIGHT
4-May-17,1,C1,428,,130,407,680,
4-May-17,9,F1,471,,401,861,534,
4-May-17,7,A3,473,,NA,NA,NA,
4-May-17,11,D2,477,,46,142,676,
4-May-17,5,C2,478,,157,504,688,
4-May-17,7,D1,508,,499,1254,602,
4-May-17,9,C1,579,,1167,2936,602,
4-May-17,3,A3,617,,254,626,594,
4-May-17,4,B1,626,,419,1076,610,
4-May-17,2,B1,634,,398,991,598,
4-May-17,5,C1,657,,511,1476,653,
4-May-17,1,C2,697,,847,2004,577,
4-May-17,8,B2,706,,137,423,676,
4-May-17,5,C3,766,,666,1640,593,
4-May-17,7,C3,775,,597,982,392,
4-May-17,9,A3,779,,96,325,704,
4-May-17,4,E2,828,,432,746,489,
4-May-17,1,D1,832,,568,1167,513,
4-May-17,11,A1,840,19:34,244,488,500,
4-May-17,6,A2,881,,335,793,577,
4-May-17,8,C3,907,,611,1142,464,
4-May-17,9,E1,955,,641,1485,568,
4-May-17,4,A2,965,,517,1440,640,
4-May-17,11,C3,472,,753,1569,520,
4-May-17,9,E3,982,,702,1832,616,
4-May-17,11,F1,1008,,322,564,429,
4-May-17,6,D1,1013,,26,105,752,
4-May-17,9,D1,1037,,481,974,506,
