date,Frag.ID,Tube #,mg prot/ml
,419,3,0.52811877
,N98,4,0.833412024
,N192,5,0.217474557
,153,6,0.4919211
,N181,7,0.522033365
,1418,8,0.510256007
,N104,9,0.470963173
,3340,10,0.367537509
,N209,11,1.077667611
,1573,12,0.460471094
,3035,13,0.266525024
,N124,14,0.460077641
,N161,15,0.349779666
,N184,16,0.462176057
,N37,17,0.34899276
,436,18,0.968733606
,3475,19,0.544696254
,N96,20,0.166194523
,N77,21,0.540761725
,2849,22,0.649118665
,N105,23,0.244098206
,N183,24,0.166928969
,1556,25,1.257947749
