Date,Tank,GridLoc,Frag.ID,Time,F0,FM,Yield,Notes
6-Apr-17,8,B3,N223,,527,1686,687,
6-Apr-17,8,D4,N222,,606,1310,537,
6-Apr-17,8,A2,N217,,287,629,543,
6-Apr-17,7,F1,N212,,445,1155,614,
6-Apr-17,8,F3,N211,,859,2440,647,
6-Apr-17,8,C3,N208,,243,812,700,
6-Apr-17,5,B4,N205,,736,1732,575,
6-Apr-17,9,D3,N198,,136,453,699,
6-Apr-17,8,C2,N197,,136,491,723,
6-Apr-17,8,D2,N192,,234,659,644,
6-Apr-17,4,E2,N189,,489,1429,657,
6-Apr-17,9,E1,N184,,401,1168,656,
6-Apr-17,1,D2,N183,,361,1047,655,
6-Apr-17,9,B4,N181,,781,2086,825,
6-Apr-17,2,A2,N180,,318,876,636,
6-Apr-17,5,B3,N172,,440,1163,621,
6-Apr-17,1,E1,N170,,83,310,732,lowsig
6-Apr-17,5,E2,N169,,156,508,692,
6-Apr-17,1,D1,N161,,504,1343,624,
6-Apr-17,5,A1,N158,20:40,144,508,716,
6-Apr-17,6,F3,N157,,403,1091,630,
6-Apr-17,8,A1,N152,21:19,608,1767,655,
6-Apr-17,11,F2,N150,,363,878,586,
6-Apr-17,5,F4,N149,,589,1557,621,
6-Apr-17,3,D1,N141,,420,10118,587,
6-Apr-17,2,B4,N134,,747,1715,564,
6-Apr-17,9,C4,N132,,133,451,705,
6-Apr-17,9,A4,N131,,738,2201,664,
6-Apr-17,9,C1,N127,,275,889,690,
6-Apr-17,4,C1,N126,,194,469,659,
6-Apr-17,5,D3,N124,,598,1793,666,
6-Apr-17,4,C2,N122,,499,658,241,
6-Apr-17,1,E3,N117,,642,2101,694,
6-Apr-17,4,B2,N115,,529,1599,669,
6-Apr-17,4,F2,N110,,317,1028,691,
6-Apr-17,9,E4,N108,,340,773,560,
6-Apr-17,8,A3,N105,,608,1559,610,
6-Apr-17,8,E1,N104,,134,432,589,
6-Apr-17,5,C3,N102,,154,518,702,
6-Apr-17,9,A1,N98,21:34,725,2107,655,
6-Apr-17,9,D4,N96,,208,563,630,
6-Apr-17,8,F1,N92,,533,1596,666,
6-Apr-17,4,F3,N89,,158,569,722,
6-Apr-17,8,B1,N78,,684,1981,654,
6-Apr-17,1,F3,N77,,359,1120,679,
6-Apr-17,4,B1,N63,,458,1388,670,
6-Apr-17,6,C4,N55,,785,1673,530,
6-Apr-17,4,A1,N49,20:24,261,805,675,
6-Apr-17,1,B2,N45,,347,973,643,
6-Apr-17,5,A2,N42,,581,1713,660,
6-Apr-17,1,C3,N37,,412,1080,618,
6-Apr-17,4,B3,N191,,210,464,547,
6-Apr-17,11,D1,138,,796,2171,633,
6-Apr-17,9,C2,153,,347,898,613,
6-Apr-17,2,C3,179,,226,678,666,
6-Apr-17,4,C4,199,,317,907,650,
6-Apr-17,4,E4,209,,124,425,708,
6-Apr-17,2,B2,238,,646,1368,527,
6-Apr-17,1,B4,244,,649,1445,550,
6-Apr-17,5,E4,249,,268,842,681,
6-Apr-17,5,D2,266,,612,1734,647,
6-Apr-17,4,D4,284,,141,479,705,
6-Apr-17,6,E3,314,,152,369,588,
6-Apr-17,11,E2,335,,235,826,715,
6-Apr-17,11,A1,344,21:46,704,1903,630,
6-Apr-17,5,F2,377,,291,920,683,
6-Apr-17,9,F2,403,,196,660,703,
6-Apr-17,5,A4,417,,216,489,558,
6-Apr-17,5,C4,419,,388,1149,662,
6-Apr-17,4,D2,420,,670,1287,479,
6-Apr-17,1,E2,428,,203,649,687,
6-Apr-17,8,E3,431,,202,652,690,
