"","taxa_id","Species","stat","p_value","Domain","Phylum","Order","Class","Family","Genus"
"39","Otu00155","Montipora_capitata",0.471,0.025,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","uncultured"
"40","Otu00169","Pavona_varians",0.622,0.003,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodovibrionales","Kiloniellaceae","Pelagibius"
"41","Otu00171","Pavona_varians",0.42,0.043,"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","Cyclobacteriaceae_unclassified"
"42","Otu00175","Pavona_varians",0.551,0.01,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodovibrionales","Kiloniellaceae","Pelagibius"
"43","Otu00176","Pavona_varians",0.542,0.004,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Stappiaceae","Stappiaceae_unclassified"
"44","Otu00185","Pavona_varians",0.42,0.042,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia"
"45","Otu00194","Pocillopora_acuta",0.44,0.037,"Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Cyanobium_PCC-6307"
"46","Otu00196","Pocillopora_acuta",0.56,0.01,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrionaceae_unclassified"
"47","Otu00197","Pocillopora_acuta",0.678,0.001,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Thalassobius"
"48","Otu00201","Pocillopora_acuta",0.486,0.023,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified"
"49","Otu00202","Montipora_capitata",0.577,0.005,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas"
"50","Otu00212","Pavona_varians",0.542,0.004,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified"
"51","Otu00219","Montipora_capitata",0.683,0.001,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas"
"52","Otu00231","Pocillopora_acuta",0.537,0.019,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Clade_Ia"
"53","Otu00247","Pocillopora_acuta",0.615,0.002,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","uncultured"
"54","Otu00251","Pavona_varians",0.542,0.004,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodovibrionales","Rhodovibrionales_unclassified","Rhodovibrionales_unclassified"
"55","Otu00256","Pavona_varians",0.485,0.025,"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus"
