Species,taxa_id,stat,p_value
Pavona_varians,Otu00261,0.412,0.047
Montipora_capitata,Otu00004,0.893,0.001
Montipora_capitata,Otu00078,0.775,0.001
Montipora_capitata,Otu00025,0.75,0.001
Montipora_capitata,Otu00219,0.683,0.001
Montipora_capitata,Otu00048,0.616,0.008
Montipora_capitata,Otu00074,0.578,0.004
Montipora_capitata,Otu00031,0.577,0.001
Montipora_capitata,Otu00097,0.577,0.001
Montipora_capitata,Otu00202,0.577,0.005
Montipora_capitata,Otu01081,0.555,0.003
Montipora_capitata,Otu00963,0.516,0.006
Montipora_capitata,Otu00013,0.516,0.006
Montipora_capitata,Otu01317,0.516,0.005
Montipora_capitata,Otu01921,0.481,0.015
Montipora_capitata,Otu00155,0.471,0.025
Montipora_capitata,Otu01305,0.447,0.02
Montipora_capitata,Otu01717,0.447,0.029
Montipora_capitata,Otu01651,0.447,0.026
Montipora_capitata,Otu04934,0.447,0.016
Montipora_capitata,Otu03648,0.447,0.02
Montipora_capitata,Otu00699,0.447,0.021
Montipora_capitata,Otu00109,0.447,0.013
Montipora_capitata,Otu00678,0.447,0.017
Montipora_capitata,Otu00313,0.447,0.014
Montipora_capitata,Otu01085,0.447,0.027
Montipora_capitata,Otu01862,0.447,0.009
Montipora_capitata,Otu03942,0.447,0.017
Montipora_capitata,Otu00929,0.447,0.016
Montipora_capitata,Otu01686,0.447,0.018
Montipora_capitata,Otu00554,0.433,0.036
Montipora_capitata,Otu01716,0.429,0.033
Montipora_capitata,Otu01658,0.417,0.048
